"$V$ (volts)" "$I$ (A)"
-0.27000001072883606000 -0.00395810604095458984
-0.25999999046325683600 -0.00396333122625946999
-0.25000000000000000000 -0.00395924178883433342
-0.23999999463558197000 -0.00394867500290274620
-0.23000000417232513400 -0.00395323708653450012
-0.21999999880790710400 -0.00394196016713976860
-0.20999999344348907500 -0.00392143800854682922
-0.20000000298023223900 -0.00392938498407602310
-0.18999999761581420900 -0.00392681406810879707
-0.18000000715255737300 -0.00392545200884342194
-0.17000000178813934300 -0.00393420178443193436
-0.15999999642372131300 -0.00392843317240476608
-0.15000000596046447800 -0.00392071809619665146
-0.14000000059604644800 -0.00391675299033522606
-0.12999999523162841800 -0.00390822999179363251
-0.11999999731779098500 -0.00389737705700099468
-0.10999999940395355200 -0.00388830993324518204
-0.10000000149011611900 -0.00388803100213408470
-0.09000000357627868650 -0.00388363702222704888
-0.07999999821186065670 -0.00389318191446363926
-0.07000000029802322390 -0.00388049311004579067
-0.05999999865889549260 -0.00387748889625072479
-0.05000000074505805970 -0.00388599908910691738
-0.03999999910593032840 -0.00387027510441839695
-0.02999999932944774630 -0.00386611791327595711
-0.01999999955296516420 -0.00386379589326679707
-0.00999999977648258210 -0.00384476291947066784
0.00000000000000000000 -0.00383915798738598824
0.00999999977648258210 -0.00384849798865616322
0.01999999955296516420 -0.00384408188983798027
0.02999999932944774630 -0.00384051701985299587
0.03999999910593032840 -0.00384404510259628296
0.05000000074505805970 -0.00384152797050774098
0.05999999865889549260 -0.00382501399144530296
0.07000000029802322390 -0.00382872996851801872
0.07999999821186065670 -0.00381630496121942997
0.09000000357627868650 -0.00379629596136510372
0.10000000149011611900 -0.00379478698596358299
0.10999999940395355200 -0.00379454600624740124
0.11999999731779098500 -0.00379143608734011650
0.12999999523162841800 -0.00379107496701180935
0.14000000059604644800 -0.00378966797143220902
0.15000000596046447800 -0.00378275709226727486
0.15999999642372131300 -0.00377541105262935162
0.17000000178813934300 -0.00376906711608171463
0.18000000715255737300 -0.00375549192540347576
0.18999999761581420900 -0.00373912788927555084
0.20000000298023223900 -0.00373132806271314621
0.20999999344348907500 -0.00372851011343300343
0.21999999880790710400 -0.00372781092301011086
0.23000000417232513400 -0.00372615689411759377
0.23999999463558197000 -0.00371397892013192177
0.25000000000000000000 -0.00371349207125604153
0.25999999046325683600 -0.00369875202886760235
0.27000001072883606000 -0.00368660106323659420
0.28000000119209289500 -0.00367605406790971756
0.28999999165534973100 -0.00364889297634363175
0.30000001192092895500 -0.00364138907752931118
0.31000000238418579100 -0.00363462697714567185
0.31999999284744262700 -0.00362669397145509720
0.33000001311302185100 -0.00361121608875691891
0.34000000357627868600 -0.00360025302506983280
0.34999999403953552200 -0.00358621706254780293
0.36000001430511474600 -0.00355779891833662987
0.37000000476837158200 -0.00353901903145015240
0.37999999523162841800 -0.00351387006230652332
0.38999998569488525400 -0.00347250793129205704
0.40000000596046447700 -0.00344586791470646858
0.40999999642372131300 -0.00342253595590591431
0.41999998688697814900 -0.00338598992675542832
0.43000000715255737300 -0.00334916892461478710
0.43999999761581420900 -0.00330904289148747921
0.44999998807907104500 -0.00326024810783565044
0.46000000834465026800 -0.00319683202542364597
0.46999999880790710400 -0.00313679291866719723
0.47999998927116394000 -0.00305901700630784035
0.49000000953674316400 -0.00296940607950091362
0.50000000000000000000 -0.00288245105184614658
0.50999999046325683600 -0.00278786988928914070
0.51999998092651367200 -0.00268323603086173534
0.52999997138977050800 -0.00256915204226970673
0.54000002145767211900 -0.00244089192710816860
0.55000001192092895500 -0.00229763099923729897
0.56000000238418579100 -0.00213675806298851967
0.56999999284744262700 -0.00195731408894062042
0.57999998331069946300 -0.00175677903462201357
0.58999997377395629900 -0.00152741000056266785
0.60000002384185791000 -0.00126030202955007553
0.61000001430511474600 -0.00093140988610684872
0.62000000476837158200 -0.00047144520794972777
0.62999999523162841800 0.00005622440949082375
0.63999998569488525400 0.00061348121380433440
0.64999997615814209000 0.00116771995089948177
0.66000002622604370100 0.00172983400989323854
0.67000001668930053700 0.00230114907026290894
0.68000000715255737300 0.00287290499545633793
0.68999999761581420900 0.00344085390679538250
0.69999998807907104500 0.00400076294317841530
0.70999997854232788100 0.00455371709540486336
0.72000002861022949200 0.00510904891416430474
0.73000001907348632800 0.00567231001332402230
0.74000000953674316400 0.00625202199444174767
0.75000000000000000000 0.00685074413195252419
0.75999999046325683600 0.00747171090915799141
0.76999998092651367200 0.00811527855694293976
0.77999997138977050800 0.00878431368619203568
0.79000002145767211900 0.00948341377079486847
0.80000001192092895500 0.01021307986229658130
0.81000000238418579100 0.01116554997861385350
0.81999999284744262700 0.01192613970488309860
0.82999998331069946300 0.01273338031023740770
0.83999997377395629900 0.01357967033982276920
0.85000002384185791000 0.01444699987769126890
0.86000001430511474600 0.01535458955913782120
0.87000000476837158200 0.01631066016852855680
