$\lambda$ $(nm)$,$T$
300.0,-0.022
305.0,-0.036
310.0,-0.034
315.0,-0.027
320.0,-0.006
325.0,-0.003
330.0,0.016
335.0,0.051
340.0,0.067
345.0,0.084
350.0,0.137
355.0,0.179
360.0,0.2
365.0,0.273
370.0,0.345
375.0,0.4
380.0,0.479
385.0,0.566
390.0,0.65
395.0,0.801
400.0,0.951
405.0,1.189
410.0,1.482
415.0,1.942
420.0,2.736
425.0,4.111
430.0,6.151
435.0,9.12
440.0,13.312
445.0,18.543
450.0,24.465
455.0,30.403
460.0,36.649
465.0,43.958
470.0,52.177
475.0,61.47
480.0,69.73
485.0,75.083
490.0,76.679
495.0,75.581
500.0,72.2
505.0,68.199
510.0,65.071
515.0,62.869
520.0,61.919
525.0,62.047
530.0,63.197
535.0,65.491
540.0,68.395
545.0,72.133
550.0,76.17
555.0,80.025
560.0,83.161
565.0,86.498
570.0,88.558
575.0,89.085
580.0,88.229
585.0,87.681
590.0,85.423
595.0,82.683
600.0,80.072
605.0,77.336
610.0,74.308
615.0,72.152
620.0,69.789
625.0,67.962
630.0,67.094
635.0,65.901
640.0,65.397
645.0,65.342
650.0,65.247
655.0,65.796
660.0,66.466
665.0,67.283
670.0,68.61
675.0,69.911
680.0,71.749
685.0,73.542
690.0,76.145
695.0,77.625
700.0,79.28
705.0,81.495
710.0,83.254
715.0,84.509
720.0,85.829
725.0,87.401
730.0,88.654
735.0,89.018
740.0,89.278
745.0,88.982
750.0,88.942
755.0,88.727
760.0,87.593
765.0,86.233
770.0,85.529
775.0,84.178
780.0,82.574
785.0,81.321
790.0,79.49
795.0,78.554
800.0,77.153
805.0,75.711
810.0,74.526
815.0,72.688
820.0,71.914
825.0,70.443
830.0,69.517
835.0,69.018
840.0,68.582
845.0,67.925
850.0,66.453
