$\lambda$ $(nm)$,$T$
300.0,-0.022
305.0,-0.007
310.0,0.012
315.0,0.054
320.0,0.094
325.0,0.152
330.0,0.211
335.0,0.268
340.0,0.37
345.0,0.438
350.0,0.57
355.0,0.659
360.0,0.807
365.0,1.01
370.0,1.265
375.0,1.625
380.0,2.229
385.0,3.179
390.0,4.852
395.0,7.595
400.0,12.052
405.0,19.276
410.0,28.358
415.0,38.665
420.0,46.736
425.0,50.493
430.0,51.6
435.0,52.863
440.0,55.973
445.0,61.912
450.0,69.466
455.0,77.291
460.0,83.521
465.0,87.751
470.0,87.299
475.0,84.002
480.0,79.231
485.0,74.252
490.0,69.986
495.0,66.996
500.0,65.14
505.0,64.123
510.0,64.538
515.0,66.255
520.0,68.426
525.0,71.456
530.0,74.98
535.0,78.66
540.0,82.602
545.0,85.847
550.0,88.595
555.0,90.153
560.0,90.351
565.0,89.689
570.0,88.348
575.0,85.817
580.0,82.559
585.0,80.399
590.0,77.721
595.0,74.738
600.0,72.577
605.0,70.659
610.0,68.926
615.0,67.664
620.0,66.676
625.0,66.316
630.0,66.31
635.0,66.561
640.0,66.999
645.0,67.893
650.0,69.172
655.0,70.481
660.0,72.002
665.0,73.329
670.0,75.044
675.0,76.895
680.0,79.457
685.0,81.111
690.0,83.125
695.0,84.877
700.0,85.91
705.0,87.635
710.0,88.806
715.0,89.171
720.0,89.937
725.0,90.052
730.0,89.636
735.0,89.549
740.0,88.466
745.0,87.33
750.0,86.325
755.0,85.428
760.0,83.508
765.0,82.283
770.0,81.293
775.0,79.304
780.0,78.118
785.0,76.185
790.0,74.902
795.0,74.251
800.0,72.382
805.0,71.821
810.0,70.899
815.0,69.338
820.0,68.887
825.0,68.331
830.0,67.605
835.0,67.413
840.0,67.065
845.0,66.916
850.0,66.057
