$\lambda$ $(nm)$,$T$
300.0,-0.03
305.0,-0.033
310.0,-0.032
315.0,-0.032
320.0,-0.025
325.0,-0.024
330.0,-0.027
335.0,-0.018
340.0,-0.019
345.0,-0.009
350.0,-0.001
355.0,0.015
360.0,0.029
365.0,0.037
370.0,0.06
375.0,0.091
380.0,0.113
385.0,0.154
390.0,0.171
395.0,0.221
400.0,0.28
405.0,0.341
410.0,0.412
415.0,0.51
420.0,0.685
425.0,0.959
430.0,1.392
435.0,2.077
440.0,3.293
445.0,5.258
450.0,8.405
455.0,12.818
460.0,18.217
465.0,24.927
470.0,32.506
475.0,42.136
480.0,52.015
485.0,59.978
490.0,64.307
495.0,64.822
500.0,62.926
505.0,60.453
510.0,59.143
515.0,59.634
520.0,61.737
525.0,65.286
530.0,70.131
535.0,75.496
540.0,80.759
545.0,85.062
550.0,87.665
555.0,88.014
560.0,86.536
565.0,83.563
570.0,79.912
575.0,75.946
580.0,71.796
585.0,69.619
590.0,67.318
595.0,65.8
600.0,65.037
605.0,65.047
610.0,65.45
615.0,66.815
620.0,68.643
625.0,71.024
630.0,73.916
635.0,76.526
640.0,79.537
645.0,82.533
650.0,85.116
655.0,87.228
660.0,88.252
665.0,89.068
670.0,89.056
675.0,88.352
680.0,87.634
685.0,85.651
690.0,84.38
695.0,81.655
700.0,79.26
705.0,77.148
710.0,75.23
715.0,72.824
720.0,71.132
725.0,69.938
730.0,68.266
735.0,67.433
740.0,66.532
745.0,65.475
750.0,65.358
755.0,65.672
760.0,65.633
765.0,65.98
770.0,66.588
775.0,67.173
780.0,68.211
785.0,68.989
790.0,70.214
795.0,71.462
800.0,72.608
805.0,74.581
810.0,76.468
815.0,77.172
820.0,78.831
825.0,80.646
830.0,82.162
835.0,83.02
840.0,84.671
845.0,86.5
850.0,85.973
