$\lambda$ $(nm)$,$T$
300.0,-0.019
305.0,-0.033
310.0,-0.011
315.0,-0.011
320.0,0.009
325.0,0.026
330.0,0.056
335.0,0.094
340.0,0.135
345.0,0.178
350.0,0.239
355.0,0.295
360.0,0.355
365.0,0.447
370.0,0.592
375.0,0.764
380.0,1.073
385.0,1.56
390.0,2.416
395.0,4.035
400.0,6.972
405.0,12.032
410.0,18.738
415.0,26.253
420.0,32.937
425.0,38.742
430.0,44.491
435.0,53.659
440.0,64.588
445.0,75.014
450.0,80.555
455.0,79.388
460.0,73.866
465.0,68.731
470.0,64.546
475.0,62.412
480.0,62.675
485.0,64.401
490.0,68.032
495.0,73.151
500.0,78.96
505.0,84.364
510.0,88.404
515.0,90.326
520.0,89.386
525.0,86.888
530.0,82.724
535.0,78.757
540.0,74.526
545.0,71.022
550.0,68.245
555.0,66.524
560.0,65.422
565.0,65.231
570.0,66.141
575.0,67.454
580.0,68.944
585.0,71.735
590.0,74.424
595.0,77.626
600.0,80.848
605.0,83.998
610.0,86.563
615.0,88.759
620.0,90.042
625.0,90.673
630.0,90.55
635.0,89.289
640.0,87.764
645.0,85.579
650.0,83.064
655.0,80.49
660.0,77.558
665.0,75.585
670.0,73.486
675.0,71.388
680.0,70.181
685.0,68.5
690.0,68.011
695.0,67.042
700.0,66.302
705.0,66.094
710.0,66.441
715.0,66.564
720.0,66.712
725.0,67.98
730.0,68.601
735.0,69.92
740.0,71.047
745.0,72.024
750.0,73.822
755.0,75.695
760.0,76.792
765.0,78.56
770.0,80.507
775.0,81.739
780.0,84.037
785.0,84.927
790.0,85.432
795.0,86.848
800.0,87.873
805.0,88.72
810.0,89.26
815.0,89.056
820.0,88.951
825.0,88.48
830.0,87.944
835.0,87.742
840.0,86.582
845.0,86.216
850.0,84.332
