$\lambda$ $(nm)$,$T$
300.0,-0.036
305.0,-0.03
310.0,-0.011
315.0,-0.002
320.0,0.018
325.0,0.045
330.0,0.063
335.0,0.088
340.0,0.14
345.0,0.17
350.0,0.241
355.0,0.302
360.0,0.363
365.0,0.462
370.0,0.602
375.0,0.791
380.0,1.145
385.0,1.73
390.0,2.787
395.0,4.779
400.0,8.339
405.0,14.369
410.0,22.221
415.0,30.829
420.0,37.709
425.0,42.245
430.0,46.734
435.0,53.207
440.0,62.73
445.0,73.19
450.0,81.442
455.0,83.288
460.0,79.313
465.0,73.848
470.0,68.267
475.0,64.583
480.0,63.067
485.0,63.251
490.0,65.451
495.0,69.453
500.0,74.278
505.0,79.6
510.0,84.993
515.0,88.837
520.0,90.514
525.0,89.864
530.0,87.038
535.0,83.056
540.0,78.849
545.0,74.834
550.0,71.295
555.0,68.827
560.0,66.854
565.0,65.766
570.0,65.668
575.0,66.147
580.0,66.872
585.0,69.108
590.0,71.198
595.0,74.229
600.0,77.161
605.0,80.101
610.0,83.221
615.0,86.067
620.0,88.316
625.0,89.73
630.0,90.858
635.0,90.5
640.0,89.553
645.0,88.389
650.0,86.376
655.0,84.041
660.0,81.395
665.0,78.975
670.0,76.693
675.0,74.122
680.0,72.648
685.0,70.764
690.0,69.74
695.0,68.211
700.0,66.955
705.0,66.579
710.0,66.618
715.0,66.086
720.0,66.391
725.0,67.133
730.0,67.212
735.0,68.457
740.0,68.788
745.0,69.749
750.0,71.404
755.0,72.941
760.0,74.354
765.0,75.969
770.0,77.437
775.0,79.121
780.0,81.059
785.0,82.416
790.0,83.493
795.0,84.884
800.0,86.14
805.0,87.884
810.0,88.499
815.0,88.095
820.0,89.323
825.0,88.795
830.0,89.102
835.0,89.122
840.0,88.664
845.0,87.659
850.0,85.76
