$\lambda$ $(nm)$,$T$
300.0,-0.031
305.0,-0.026
310.0,-0.021
315.0,-0.027
320.0,-0.024
325.0,-0.011
330.0,0.005
335.0,0.016
340.0,0.033
345.0,0.052
350.0,0.074
355.0,0.095
360.0,0.13
365.0,0.185
370.0,0.222
375.0,0.273
380.0,0.333
385.0,0.418
390.0,0.515
395.0,0.67
400.0,0.904
405.0,1.248
410.0,1.827
415.0,2.776
420.0,4.551
425.0,7.559
430.0,11.521
435.0,16.439
440.0,22.769
445.0,30.516
450.0,40.315
455.0,51.41
460.0,61.081
465.0,66.789
470.0,67.252
475.0,64.648
480.0,61.753
485.0,59.972
490.0,60.152
495.0,62.075
500.0,65.942
505.0,70.829
510.0,76.886
515.0,82.838
520.0,87.149
525.0,89.391
530.0,89.172
535.0,86.633
540.0,82.832
545.0,78.64
550.0,74.279
555.0,70.912
560.0,68.072
565.0,66.249
570.0,65.31
575.0,65.164
580.0,65.192
585.0,67.024
590.0,68.884
595.0,71.189
600.0,74.022
605.0,77.154
610.0,80.342
615.0,83.367
620.0,86.134
625.0,88.182
630.0,90.008
635.0,90.428
640.0,90.271
645.0,89.409
650.0,87.46
655.0,85.597
660.0,82.788
665.0,80.418
670.0,78.179
675.0,75.514
680.0,73.772
685.0,71.822
690.0,70.448
695.0,68.615
700.0,67.313
705.0,66.58
710.0,66.372
715.0,65.851
720.0,65.777
725.0,66.32
730.0,66.589
735.0,67.481
740.0,67.984
745.0,68.636
750.0,70.371
755.0,71.997
760.0,73.117
765.0,74.964
770.0,76.056
775.0,77.852
780.0,79.967
785.0,80.879
790.0,82.488
795.0,83.788
800.0,85.188
805.0,86.948
810.0,88.212
815.0,87.89
820.0,88.949
825.0,88.629
830.0,88.726
835.0,88.163
840.0,90.645
845.0,88.384
850.0,86.873
