$\lambda$ $(nm)$,$T$
300.0,-0.032
305.0,-0.04
310.0,-0.032
315.0,-0.036
320.0,-0.039
325.0,-0.032
330.0,-0.027
335.0,-0.026
340.0,-0.031
345.0,-0.023
350.0,-0.014
355.0,-0.019
360.0,-0.014
365.0,-0.006
370.0,0.013
375.0,0.005
380.0,0.015
385.0,0.029
390.0,0.044
395.0,0.065
400.0,0.074
405.0,0.103
410.0,0.139
415.0,0.161
420.0,0.195
425.0,0.264
430.0,0.324
435.0,0.429
440.0,0.591
445.0,0.868
450.0,1.376
455.0,2.279
460.0,3.811
465.0,6.542
470.0,10.474
475.0,16.163
480.0,22.757
485.0,28.909
490.0,34.43
495.0,40.01
500.0,46.675
505.0,54.659
510.0,63.501
515.0,71.504
520.0,75.925
525.0,76.659
530.0,74.303
535.0,70.533
540.0,66.64
545.0,64.0
550.0,62.587
555.0,62.975
560.0,64.484
565.0,67.358
570.0,71.575
575.0,76.164
580.0,80.149
585.0,84.77
590.0,87.66
595.0,89.1
600.0,88.906
605.0,87.338
610.0,84.614
615.0,81.154
620.0,77.297
625.0,74.156
630.0,71.498
635.0,68.974
640.0,67.084
645.0,65.961
650.0,65.371
655.0,65.286
660.0,66.164
665.0,66.75
670.0,68.161
675.0,70.15
680.0,72.993
685.0,75.038
690.0,78.033
695.0,80.285
700.0,82.887
705.0,85.408
710.0,87.106
715.0,88.093
720.0,88.843
725.0,89.82
730.0,89.013
735.0,88.676
740.0,86.846
745.0,84.63
750.0,83.381
755.0,81.725
760.0,79.051
765.0,77.03
770.0,74.947
775.0,73.353
780.0,71.722
785.0,69.857
790.0,68.595
795.0,67.712
800.0,66.408
805.0,66.337
810.0,66.091
815.0,64.954
820.0,65.385
825.0,65.581
830.0,65.278
835.0,66.143
840.0,66.832
845.0,67.719
850.0,67.382
