$\lambda$ $(nm)$,$T$
300.0,-0.032
305.0,-0.038
310.0,-0.042
315.0,-0.033
320.0,-0.036
325.0,-0.03
330.0,-0.031
335.0,-0.036
340.0,-0.033
345.0,-0.031
350.0,-0.036
355.0,-0.022
360.0,-0.02
365.0,-0.016
370.0,-0.009
375.0,0.003
380.0,0.009
385.0,0.024
390.0,0.022
395.0,0.041
400.0,0.063
405.0,0.088
410.0,0.104
415.0,0.127
420.0,0.154
425.0,0.205
430.0,0.246
435.0,0.328
440.0,0.445
445.0,0.617
450.0,0.952
455.0,1.565
460.0,2.65
465.0,4.559
470.0,7.486
475.0,12.324
480.0,18.643
485.0,26.143
490.0,32.743
495.0,37.984
500.0,41.974
505.0,46.159
510.0,52.111
515.0,59.306
520.0,67.641
525.0,74.685
530.0,79.1
535.0,80.071
540.0,77.496
545.0,73.402
550.0,69.166
555.0,65.988
560.0,63.855
565.0,63.432
570.0,63.989
575.0,66.052
580.0,68.695
585.0,72.889
590.0,77.172
595.0,81.314
600.0,85.239
605.0,87.687
610.0,88.929
615.0,88.645
620.0,86.598
625.0,84.308
630.0,81.348
635.0,77.812
640.0,74.419
645.0,71.683
650.0,69.346
655.0,67.368
660.0,65.882
665.0,65.232
670.0,64.894
675.0,65.218
680.0,66.336
685.0,67.469
690.0,69.348
695.0,71.256
700.0,73.272
705.0,76.01
710.0,78.587
715.0,80.949
720.0,83.055
725.0,85.47
730.0,87.315
735.0,88.594
740.0,88.805
745.0,88.602
750.0,88.301
755.0,87.589
760.0,86.254
765.0,84.828
770.0,82.804
775.0,80.998
780.0,78.899
785.0,76.845
790.0,74.901
795.0,73.554
800.0,71.146
805.0,70.213
810.0,68.938
815.0,67.591
820.0,66.6
825.0,65.734
830.0,65.783
835.0,65.431
840.0,64.974
845.0,65.592
850.0,65.615
