$\lambda$ $(nm)$,$T$
300.0,-0.031
305.0,-0.025000000000000001
310.0,-0.034000000000000002
315.0,-0.027
320.0,-0.034000000000000002
325.0,-0.025000000000000001
330.0,-0.027
335.0,-0.027
340.0,-0.024
345.0,-0.012999999999999999
350.0,-0.012
355.0,-0.0050000000000000001
360.0,0.014
365.0,0.033000000000000002
370.0,0.036999999999999998
375.0,0.050999999999999997
380.0,0.069000000000000006
385.0,0.097000000000000003
390.0,0.123
395.0,0.157
400.0,0.19600000000000001
405.0,0.24199999999999999
410.0,0.30599999999999999
415.0,0.38
420.0,0.51000000000000001
425.0,0.68500000000000005
430.0,0.92500000000000004
435.0,1.427
440.0,2.2530000000000001
445.0,3.6739999999999999
450.0,6.1820000000000004
455.0,9.9280000000000008
460.0,14.805
465.0,20.739999999999998
470.0,26.504999999999999
475.0,33.155000000000001
480.0,40.780999999999999
485.0,49.223999999999997
490.0,59.148000000000003
495.0,67.484999999999999
500.0,72.171000000000006
505.0,72.617000000000004
510.0,70.019000000000005
515.0,66.613
520.0,63.529000000000003
525.0,62.134999999999998
530.0,62.164000000000001
535.0,63.960999999999999
540.0,66.944999999999993
545.0,71.271000000000001
550.0,76.343999999999994
555.0,81.213999999999999
560.0,85.168999999999997
565.0,87.941999999999993
570.0,89.290000000000006
575.0,88.540000000000006
580.0,85.718000000000004
585.0,83.513000000000005
590.0,79.509
595.0,75.760999999999996
600.0,72.512
605.0,69.825000000000003
610.0,67.659000000000006
615.0,66.286000000000001
620.0,65.367999999999995
625.0,65.427000000000007
630.0,66.239000000000004
635.0,67.231999999999999
640.0,68.963999999999999
645.0,71.170000000000002
650.0,73.802000000000007
655.0,76.671000000000006
660.0,79.516999999999996
665.0,81.537999999999997
670.0,83.986000000000004
675.0,85.903000000000006
680.0,88.316999999999993
685.0,89.018000000000001
690.0,89.866
695.0,89.605000000000004
700.0,88.472999999999999
705.0,87.388999999999996
710.0,85.652000000000001
715.0,83.465999999999994
720.0,81.397000000000006
725.0,79.632000000000005
730.0,77.170000000000002
735.0,75.494
740.0,73.234999999999999
745.0,71.344999999999999
750.0,69.897000000000006
755.0,68.863
760.0,67.546999999999997
765.0,66.939999999999998
770.0,65.935000000000002
775.0,65.766000000000005
780.0,65.966999999999999
785.0,65.477000000000004
790.0,65.691000000000003
795.0,66.159000000000006
800.0,66.792000000000002
805.0,67.879000000000005
810.0,68.905000000000001
815.0,69.25
820.0,70.917000000000002
825.0,72.561999999999998
830.0,73.373999999999995
835.0,75.227000000000004
840.0,77.147999999999996
845.0,78.798000000000002
850.0,78.855000000000004
