$\lambda$ $(nm)$,$T$
300.0,-0.04
305.0,-0.03
310.0,-0.031
315.0,-0.024
320.0,-0.003
325.0,0.015
330.0,0.034
335.0,0.042
340.0,0.08
345.0,0.133
350.0,0.152
355.0,0.201
360.0,0.248
365.0,0.315
370.0,0.374
375.0,0.433
380.0,0.544
385.0,0.65
390.0,0.806
395.0,1.044
400.0,1.338
405.0,1.89
410.0,2.725
415.0,4.063
420.0,6.361
425.0,10.213
430.0,15.669
435.0,22.901
440.0,31.824
445.0,39.868
450.0,45.356
455.0,47.876
460.0,49.464
465.0,51.994
470.0,55.667
475.0,61.369
480.0,68.705
485.0,75.982
490.0,82.367
495.0,86.021
500.0,86.516
505.0,83.853
510.0,79.407
515.0,74.795
520.0,70.494
525.0,67.228
530.0,65.042
535.0,63.843
540.0,63.665
545.0,64.58
550.0,66.167
555.0,68.546
560.0,71.253
565.0,75.082
570.0,78.758
575.0,82.297
580.0,85.051
585.0,88.095
590.0,89.538
595.0,90.246
600.0,90.068
605.0,88.668
610.0,86.506
615.0,84.296
620.0,81.037
625.0,78.634
630.0,76.268
635.0,73.669
640.0,71.531
645.0,69.688
650.0,68.204
655.0,67.069
660.0,66.037
665.0,65.488
670.0,65.418
675.0,65.508
680.0,66.315
685.0,66.638
690.0,67.875
695.0,68.839
700.0,69.882
705.0,71.839
710.0,73.717
715.0,75.021
720.0,77.018
725.0,79.186
730.0,80.584
735.0,82.589
740.0,84.24
745.0,85.091
750.0,87.018
755.0,87.801
760.0,88.181
765.0,89.265
770.0,89.629
775.0,89.452
780.0,89.364
785.0,88.395
790.0,87.363
795.0,87.102
800.0,85.687
805.0,84.715
810.0,83.75
815.0,82.058
820.0,80.509
825.0,78.976
830.0,77.608
835.0,76.221
840.0,75.051
845.0,75.225
850.0,73.199
