$\lambda$ $(nm)$,$T$
300.0,-0.035
305.0,-0.038
310.0,-0.027
315.0,-0.043
320.0,-0.028
325.0,-0.021
330.0,-0.011
335.0,-0.008
340.0,0.002
345.0,0.001
350.0,0.026
355.0,0.039
360.0,0.055
365.0,0.074
370.0,0.107
375.0,0.133
380.0,0.178
385.0,0.213
390.0,0.271
395.0,0.327
400.0,0.412
405.0,0.528
410.0,0.659
415.0,0.886
420.0,1.278
425.0,1.972
430.0,3.035
435.0,4.792
440.0,7.53
445.0,11.518
450.0,16.876
455.0,23.444
460.0,31.463
465.0,41.184
470.0,50.624
475.0,59.046
480.0,64.009
485.0,64.746
490.0,63.149
495.0,61.156
500.0,59.956
505.0,60.137
510.0,62.415
515.0,66.101
520.0,71.164
525.0,76.422
530.0,81.865
535.0,86.32
540.0,88.145
545.0,88.161
550.0,86.108
555.0,82.855
560.0,79.094
565.0,75.212
570.0,71.704
575.0,68.774
580.0,66.512
585.0,65.869
590.0,65.248
595.0,65.483
600.0,66.581
605.0,68.104
610.0,70.187
615.0,72.51
620.0,75.361
625.0,78.387
630.0,81.526
635.0,84.259
640.0,86.545
645.0,88.497
650.0,89.42
655.0,89.357
660.0,88.783
665.0,87.963
670.0,86.558
675.0,84.387
680.0,82.275
685.0,79.777
690.0,78.004
695.0,75.367
700.0,73.16
705.0,71.665
710.0,70.094
715.0,68.375
720.0,67.519
725.0,67.09
730.0,66.198
735.0,65.97
740.0,65.682
745.0,65.655
750.0,66.273
755.0,67.123
760.0,67.514
765.0,68.905
770.0,69.704
775.0,70.675
780.0,72.466
785.0,73.442
790.0,74.88
795.0,76.651
800.0,78.559
805.0,80.237
810.0,81.337
815.0,82.423
820.0,84.111
825.0,85.343
830.0,86.003
835.0,87.2
840.0,87.697
845.0,89.108
850.0,88.203
