$\lambda$ $(nm)$,$T$
300.0,-0.021
305.0,0.023
310.0,0.097
315.0,0.146
320.0,0.241
325.0,0.326
330.0,0.45
335.0,0.572
340.0,0.706
345.0,0.874
350.0,1.068
355.0,1.267
360.0,1.487
365.0,1.806
370.0,2.217
375.0,2.689
380.0,3.643
385.0,4.997
390.0,7.198
395.0,10.656
400.0,15.314
405.0,21.889
410.0,29.715
415.0,39.585
420.0,51.743
425.0,63.452
430.0,69.623
435.0,70.033
440.0,67.583
445.0,64.544
450.0,62.025
455.0,61.131
460.0,61.502
465.0,63.92
470.0,67.044
475.0,71.601
480.0,76.449
485.0,81.238
490.0,85.285
495.0,88.442
500.0,90.093
505.0,89.567
510.0,87.798
515.0,85.008
520.0,81.601
525.0,78.119
530.0,74.87
535.0,72.483
540.0,69.881
545.0,68.037
550.0,66.646
555.0,66.102
560.0,65.75
565.0,65.922
570.0,66.697
575.0,67.756
580.0,68.81
585.0,70.733
590.0,72.847
595.0,75.031
600.0,77.257
605.0,79.526
610.0,81.642
615.0,83.91
620.0,85.829
625.0,87.616
630.0,88.931
635.0,89.803
640.0,90.393
645.0,90.465
650.0,89.9
655.0,89.309
660.0,88.175
665.0,86.607
670.0,85.212
675.0,83.299
680.0,82.351
685.0,80.141
690.0,78.821
695.0,77.088
700.0,75.3
705.0,74.512
710.0,73.11
715.0,71.402
720.0,70.444
725.0,69.733
730.0,68.895
735.0,68.396
740.0,67.584
745.0,66.957
750.0,67.023
755.0,66.679
760.0,66.397
765.0,66.551
770.0,66.482
775.0,66.644
780.0,67.021
785.0,67.257
790.0,67.48
795.0,68.252
800.0,68.822
805.0,69.781
810.0,70.496
815.0,70.602
820.0,71.64
825.0,72.597
830.0,74.527
835.0,74.758
840.0,75.593
845.0,77.119
850.0,77.12
