$\lambda$ $(nm)$,$T$
300.0,-0.018
305.0,-0.03
310.0,-0.022
315.0,-0.009
320.0,0.017
325.0,0.038
330.0,0.069
335.0,0.081
340.0,0.133
345.0,0.19
350.0,0.262
355.0,0.357
360.0,0.499
365.0,0.808
370.0,1.342
375.0,2.36
380.0,4.548
385.0,8.316
390.0,14.786
395.0,23.991
400.0,33.588
405.0,40.071
410.0,43.409
415.0,49.801
420.0,59.908
425.0,72.062
430.0,79.287
435.0,78.724
440.0,73.294
445.0,67.016
450.0,63.2
455.0,62.413
460.0,64.968
465.0,70.292
470.0,76.204
475.0,82.5
480.0,87.204
485.0,88.528
490.0,86.371
495.0,81.918
500.0,76.159
505.0,71.3
510.0,67.867
515.0,65.744
520.0,65.024
525.0,65.755
530.0,67.969
535.0,71.029
540.0,74.859
545.0,78.861
550.0,83.548
555.0,86.763
560.0,88.818
565.0,89.647
570.0,89.106
575.0,86.669
580.0,83.268
585.0,80.796
590.0,77.286
595.0,73.998
600.0,71.333
605.0,69.142
610.0,67.523
615.0,66.639
620.0,66.2
625.0,66.554
630.0,67.558
635.0,68.725
640.0,70.19
645.0,72.411
650.0,74.731
655.0,77.336
660.0,79.945
665.0,81.848
670.0,83.935
675.0,85.954
680.0,88.062
685.0,88.817
690.0,89.72
695.0,89.039
700.0,88.177
705.0,87.556
710.0,85.763
715.0,83.563
720.0,81.678
725.0,80.222
730.0,77.905
735.0,76.162
740.0,74.004
745.0,72.423
750.0,70.812
755.0,69.814
760.0,68.275
765.0,67.605
770.0,66.983
775.0,66.267
780.0,66.465
785.0,66.283
790.0,66.157
795.0,66.599
800.0,66.777
805.0,68.143
810.0,68.456
815.0,68.851
820.0,70.421
825.0,72.137
830.0,72.333
835.0,74.115
840.0,75.456
845.0,77.231
850.0,77.6
