$\lambda$ $(nm)$,$T$
300.0,-0.029999999999999999
305.0,-0.014999999999999999
310.0,-0.017000000000000001
315.0,0.001
320.0,0.016
325.0,0.050000000000000003
330.0,0.072999999999999995
335.0,0.125
340.0,0.151
345.0,0.20100000000000001
350.0,0.26400000000000001
355.0,0.34399999999999997
360.0,0.39300000000000002
365.0,0.48399999999999999
370.0,0.58099999999999996
375.0,0.69299999999999995
380.0,0.84599999999999997
385.0,1.0169999999999999
390.0,1.3
395.0,1.6859999999999999
400.0,2.2919999999999998
405.0,3.375
410.0,5.0449999999999999
415.0,7.7549999999999999
420.0,12.189
425.0,18.692
430.0,25.581
435.0,31.564
440.0,36.529000000000003
445.0,40.878
450.0,46.048999999999999
455.0,52.475999999999999
460.0,60.411000000000001
465.0,69.519999999999996
470.0,76.906999999999996
475.0,81.209999999999994
480.0,81.707999999999998
485.0,78.813999999999993
490.0,74.447000000000003
495.0,70.132999999999996
500.0,66.158000000000001
505.0,63.271999999999998
510.0,61.722000000000001
515.0,61.529000000000003
520.0,62.215000000000003
525.0,64.0
530.0,66.707999999999998
535.0,69.936000000000007
540.0,73.722999999999999
545.0,77.695999999999998
550.0,81.483000000000004
555.0,84.772999999999996
560.0,86.936000000000007
565.0,88.191999999999993
570.0,88.363
575.0,87.393000000000001
580.0,84.864000000000004
585.0,83.126000000000005
590.0,80.266000000000005
595.0,77.302999999999997
600.0,74.605000000000004
605.0,72.132999999999996
610.0,69.835999999999999
615.0,68.373000000000005
620.0,66.492000000000004
625.0,65.575999999999993
630.0,65.144999999999996
635.0,64.686000000000007
640.0,64.609999999999999
645.0,65.049999999999997
650.0,65.837000000000003
655.0,66.685000000000002
660.0,67.766999999999996
665.0,69.143000000000001
670.0,70.665999999999997
675.0,72.373000000000005
680.0,74.480000000000004
685.0,76.426000000000002
690.0,78.793000000000006
695.0,80.463999999999999
700.0,82.034999999999997
705.0,83.835999999999999
710.0,85.665999999999997
715.0,86.346000000000004
720.0,87.643000000000001
725.0,88.539000000000001
730.0,89.108999999999995
735.0,89.456000000000003
740.0,88.888000000000005
745.0,88.034000000000006
750.0,87.599000000000004
755.0,86.757999999999996
760.0,85.599999999999994
765.0,84.221999999999994
770.0,83.028999999999996
775.0,81.414000000000001
780.0,80.105999999999995
785.0,78.191999999999993
790.0,76.692999999999998
795.0,75.938000000000002
800.0,73.924999999999997
805.0,73.180999999999997
810.0,71.998000000000005
815.0,70.307000000000002
820.0,69.951999999999998
825.0,68.887
830.0,67.781999999999996
835.0,67.344999999999999
840.0,67.629000000000005
845.0,66.623000000000005
850.0,65.304000000000002
