$\lambda$ $(nm)$,$T$
300.0,-0.033000000000000002
305.0,-0.034000000000000002
310.0,-0.023
315.0,-0.035000000000000003
320.0,-0.017999999999999999
325.0,-0.025000000000000001
330.0,-0.017999999999999999
335.0,-0.014999999999999999
340.0,0.0060000000000000001
345.0,0.017000000000000001
350.0,0.041000000000000002
355.0,0.057000000000000002
360.0,0.087999999999999995
365.0,0.121
370.0,0.14699999999999999
375.0,0.19900000000000001
380.0,0.22900000000000001
385.0,0.28299999999999997
390.0,0.35899999999999999
395.0,0.44900000000000001
400.0,0.56899999999999995
405.0,0.76800000000000002
410.0,1.022
415.0,1.4870000000000001
420.0,2.2949999999999999
425.0,3.7400000000000002
430.0,5.9489999999999998
435.0,9.2029999999999994
440.0,13.723000000000001
445.0,19.431000000000001
450.0,26.431999999999999
455.0,35.020000000000003
460.0,45.015999999999998
465.0,55.695
470.0,63.152999999999999
475.0,66.739000000000004
480.0,66.417000000000002
485.0,63.817999999999998
490.0,61.265999999999998
495.0,60.088000000000001
500.0,60.740000000000002
505.0,62.954000000000001
510.0,66.977999999999994
515.0,72.210999999999999
520.0,77.715999999999994
525.0,83.158000000000001
530.0,87.153999999999996
535.0,89.043000000000006
540.0,88.522000000000006
545.0,86.091999999999999
550.0,82.238
555.0,78.394999999999996
560.0,74.349000000000004
565.0,71.0
570.0,68.403000000000006
575.0,66.382000000000005
580.0,64.959000000000003
585.0,65.340000000000003
590.0,65.677000000000007
595.0,66.762
600.0,68.497
605.0,70.859999999999999
610.0,73.460999999999999
615.0,76.433999999999997
620.0,79.379999999999995
625.0,82.626999999999995
630.0,85.483000000000004
635.0,87.676000000000002
640.0,89.069999999999993
645.0,90.238
650.0,90.031000000000006
655.0,89.334999999999994
660.0,87.793000000000006
665.0,85.900999999999996
670.0,83.849000000000004
675.0,81.010000000000005
680.0,79.209999999999994
685.0,76.707999999999998
690.0,74.852000000000004
695.0,72.311999999999998
700.0,70.611999999999995
705.0,69.265000000000001
710.0,68.129000000000005
715.0,66.885000000000005
720.0,66.492000000000004
725.0,65.935000000000002
730.0,66.037000000000006
735.0,66.177999999999997
740.0,66.254000000000005
745.0,66.308999999999997
750.0,67.597999999999999
755.0,68.031000000000006
760.0,69.290000000000006
765.0,70.603999999999999
770.0,72.108000000000004
775.0,73.366
780.0,74.766000000000005
785.0,76.590000000000003
790.0,77.825999999999993
795.0,79.518000000000001
800.0,81.161000000000001
805.0,82.494
810.0,84.090000000000003
815.0,84.932000000000002
820.0,85.986999999999995
825.0,87.725999999999999
830.0,88.549000000000007
835.0,88.543000000000006
840.0,88.742000000000004
845.0,88.935000000000002
850.0,88.429000000000002
