$\lambda$ $(nm)$,$T$
300.0,-0.016
305.0,0.018
310.0,0.041
315.0,0.099
320.0,0.155
325.0,0.252
330.0,0.346
335.0,0.422
340.0,0.564
345.0,0.659
350.0,0.814
355.0,0.992
360.0,1.171
365.0,1.406
370.0,1.814
375.0,2.325
380.0,3.247
385.0,4.7
390.0,7.266
395.0,11.477
400.0,17.789
405.0,25.831
410.0,32.584
415.0,38.065
420.0,43.256
425.0,50.132
430.0,58.455
435.0,67.445
440.0,76.902
445.0,83.106
450.0,84.41
455.0,81.513
460.0,76.564
465.0,72.024
470.0,67.587
475.0,64.933
480.0,63.713
485.0,63.832
490.0,65.066
495.0,67.465
500.0,70.554
505.0,74.295
510.0,78.78
515.0,82.976
520.0,86.313
525.0,88.977
530.0,90.083
535.0,89.886
540.0,88.812
545.0,86.761
550.0,83.927
555.0,81.0
560.0,78.097
565.0,75.067
570.0,72.563
575.0,70.4
580.0,68.236
585.0,67.642
590.0,66.822
595.0,66.291
600.0,66.509
605.0,66.822
610.0,67.405
615.0,68.372
620.0,69.491
625.0,71.343
630.0,73.049
635.0,75.016
640.0,77.162
645.0,79.253
650.0,81.321
655.0,83.332
660.0,85.209
665.0,86.454
670.0,87.85
675.0,88.739
680.0,89.799
685.0,89.77
690.0,90.281
695.0,89.728
700.0,88.899
705.0,88.215
710.0,87.222
715.0,85.717
720.0,84.229
725.0,83.061
730.0,81.423
735.0,79.962
740.0,78.215
745.0,76.343
750.0,75.473
755.0,73.738
760.0,72.28
765.0,71.45
770.0,70.784
775.0,69.786
780.0,69.061
785.0,67.966
790.0,67.378
795.0,67.339
800.0,67.05
805.0,66.709
810.0,66.737
815.0,65.658
820.0,66.413
825.0,66.143
830.0,66.155
835.0,66.367
840.0,66.86
845.0,68.341
850.0,67.742
