$\lambda$ $(nm)$,$T$
300.0,-0.025
305.0,-0.014
310.0,-0.003
315.0,0.01
320.0,0.045
325.0,0.055
330.0,0.102
335.0,0.139
340.0,0.18
345.0,0.247
350.0,0.309
355.0,0.407
360.0,0.492
365.0,0.708
370.0,0.987
375.0,1.412
380.0,2.249
385.0,3.731
390.0,6.513
395.0,11.152
400.0,18.567
405.0,29.17
410.0,38.796
415.0,45.265
420.0,47.792
425.0,50.383
430.0,55.331
435.0,62.704
440.0,72.572
445.0,81.531
450.0,85.423
455.0,83.415
460.0,77.773
465.0,72.17
470.0,67.248
475.0,64.399
480.0,63.573
485.0,64.588
490.0,67.333
495.0,71.536
500.0,76.752
505.0,81.746
510.0,86.364
515.0,89.337
520.0,89.971
525.0,88.536
530.0,85.79
535.0,81.982
540.0,77.586
545.0,73.911
550.0,70.62
555.0,68.499
560.0,66.93
565.0,65.838
570.0,66.031
575.0,66.817
580.0,67.632
585.0,69.889
590.0,72.341
595.0,75.066
600.0,78.132
605.0,81.052
610.0,83.877
615.0,86.541
620.0,88.415
625.0,89.943
630.0,90.646
635.0,90.132
640.0,89.21
645.0,87.832
650.0,85.642
655.0,83.262
660.0,80.594
665.0,78.367
670.0,76.283
675.0,73.91
680.0,72.467
685.0,70.613
690.0,69.631
695.0,68.405
700.0,67.206
705.0,66.887
710.0,66.7
715.0,66.353
720.0,66.762
725.0,67.471
730.0,68.071
735.0,68.751
740.0,69.871
745.0,70.521
750.0,72.069
755.0,73.712
760.0,74.999
765.0,76.229
770.0,77.952
775.0,79.39
780.0,81.438
785.0,82.771
790.0,83.869
795.0,85.334
800.0,86.199
805.0,87.608
810.0,88.288
815.0,88.939
820.0,88.788
825.0,88.73
830.0,89.144
835.0,88.93
840.0,88.56
845.0,88.243
850.0,85.964
