$\lambda$ $(nm)$,$T$
300.0,-0.028000000000000001
305.0,-0.014
310.0,0.014
315.0,0.045999999999999999
320.0,0.088999999999999996
325.0,0.161
330.0,0.24199999999999999
335.0,0.31
340.0,0.38400000000000001
345.0,0.47799999999999998
350.0,0.59199999999999997
355.0,0.71099999999999997
360.0,0.83999999999999997
365.0,1.008
370.0,1.2030000000000001
375.0,1.4430000000000001
380.0,1.8200000000000001
385.0,2.399
390.0,3.2669999999999999
395.0,4.7320000000000002
400.0,7.1920000000000002
405.0,11.111000000000001
410.0,16.100999999999999
415.0,22.061
420.0,28.434999999999999
425.0,35.677999999999997
430.0,43.414999999999999
435.0,52.646999999999998
440.0,62.396999999999998
445.0,73.111000000000004
450.0,78.786000000000001
455.0,78.888000000000005
460.0,75.525999999999996
465.0,71.552999999999997
470.0,66.983999999999995
475.0,64.055000000000007
480.0,62.588000000000001
485.0,62.442
490.0,63.438000000000002
495.0,66.058999999999997
500.0,69.215999999999994
505.0,73.084000000000003
510.0,77.042000000000002
515.0,82.150999999999996
520.0,85.638999999999996
525.0,88.308000000000007
530.0,89.900999999999996
535.0,89.912000000000006
540.0,88.783000000000001
545.0,86.283000000000001
550.0,83.361999999999995
555.0,80.350999999999999
560.0,77.278999999999996
565.0,74.388999999999996
570.0,71.920000000000002
575.0,69.671999999999997
580.0,67.591999999999999
585.0,67.088999999999999
590.0,66.091999999999999
595.0,65.763000000000005
600.0,65.769999999999996
605.0,66.337999999999994
610.0,66.971999999999994
615.0,67.974999999999994
620.0,69.519000000000005
625.0,71.078999999999994
630.0,73.055999999999997
635.0,75.113
640.0,76.933999999999997
645.0,79.280000000000001
650.0,81.591999999999999
655.0,83.197000000000003
660.0,85.281000000000006
665.0,86.575999999999993
670.0,87.947000000000003
675.0,88.751999999999995
680.0,89.992000000000004
685.0,89.644000000000005
690.0,90.409000000000006
695.0,89.438999999999993
700.0,88.369
705.0,87.858999999999995
710.0,86.5
715.0,84.915999999999997
720.0,83.656999999999996
725.0,82.382999999999996
730.0,80.525999999999996
735.0,79.358000000000004
740.0,77.427999999999997
745.0,75.888000000000005
750.0,74.298000000000002
755.0,73.394999999999996
760.0,71.859999999999999
765.0,71.420000000000002
770.0,69.915999999999997
775.0,69.131
780.0,68.462000000000003
785.0,67.581000000000003
790.0,66.611000000000004
795.0,66.747
800.0,66.186000000000007
805.0,66.198999999999998
810.0,66.140000000000001
815.0,65.602999999999994
820.0,65.117999999999995
825.0,66.433999999999997
830.0,65.825000000000003
835.0,66.168000000000006
840.0,67.494
845.0,67.810000000000002
850.0,68.471999999999994
