$\lambda$ $(nm)$,$T$
300.0,-0.037999999999999999
305.0,-0.023
310.0,-0.035000000000000003
315.0,-0.027
320.0,-0.029000000000000001
325.0,-0.027
330.0,-0.036999999999999998
335.0,-0.012999999999999999
340.0,-0.0040000000000000001
345.0,-0.002
350.0,0.0030000000000000001
355.0,0.028000000000000001
360.0,0.040000000000000001
365.0,0.058000000000000003
370.0,0.070999999999999994
375.0,0.104
380.0,0.11600000000000001
385.0,0.17399999999999999
390.0,0.19700000000000001
395.0,0.245
400.0,0.28499999999999998
405.0,0.34799999999999998
410.0,0.39400000000000002
415.0,0.47899999999999998
420.0,0.56100000000000005
425.0,0.68100000000000005
430.0,0.84999999999999998
435.0,1.0669999999999999
440.0,1.397
445.0,1.9570000000000001
450.0,2.9510000000000001
455.0,4.5759999999999996
460.0,7.2649999999999997
465.0,11.340999999999999
470.0,16.68
475.0,23.405000000000001
480.0,29.855
485.0,35.332999999999998
490.0,39.776000000000003
495.0,44.213000000000001
500.0,49.378
505.0,55.718000000000004
510.0,62.939
515.0,70.700999999999993
520.0,76.945999999999998
525.0,81.155000000000001
530.0,82.409000000000006
535.0,81.058000000000007
540.0,77.762
545.0,73.858000000000004
550.0,70.016000000000005
555.0,67.424999999999997
560.0,65.444000000000003
565.0,64.293999999999997
570.0,64.085999999999999
575.0,64.688999999999993
580.0,65.861999999999995
585.0,68.448999999999998
590.0,71.042000000000002
595.0,74.337999999999994
600.0,77.796999999999997
605.0,80.841999999999999
610.0,84.025000000000006
615.0,86.418999999999997
620.0,88.319999999999993
625.0,89.180999999999997
630.0,89.655000000000001
635.0,88.623000000000005
640.0,87.180999999999997
645.0,85.293000000000006
650.0,82.918000000000006
655.0,80.480999999999995
660.0,77.745000000000005
665.0,75.209000000000003
670.0,72.906999999999996
675.0,70.756
680.0,69.495000000000005
685.0,67.927000000000007
690.0,67.159999999999997
695.0,66.090000000000003
700.0,65.421999999999997
705.0,65.539000000000001
710.0,65.513000000000005
715.0,65.997
720.0,66.311999999999998
725.0,67.423000000000002
730.0,68.369
735.0,69.790999999999997
740.0,70.786000000000001
745.0,72.090000000000003
750.0,74.103999999999999
755.0,75.540999999999997
760.0,76.646000000000001
765.0,79.143000000000001
770.0,80.944999999999993
775.0,82.424999999999997
780.0,83.906999999999996
785.0,85.245999999999995
790.0,86.137
795.0,87.418000000000006
800.0,87.403999999999996
805.0,88.429000000000002
810.0,89.075999999999993
815.0,88.158000000000001
820.0,88.001000000000005
825.0,88.156000000000006
830.0,87.501000000000005
835.0,86.945999999999998
840.0,85.816999999999993
845.0,85.111999999999995
850.0,82.915000000000006
