$\lambda$ $(nm)$,$T$
300.0,-0.012
305.0,-0.0070000000000000001
310.0,0.02
315.0,0.042000000000000003
320.0,0.099000000000000005
325.0,0.151
330.0,0.20300000000000001
335.0,0.29399999999999998
340.0,0.38400000000000001
345.0,0.46700000000000003
350.0,0.57699999999999996
355.0,0.70799999999999996
360.0,0.80100000000000005
365.0,0.95299999999999996
370.0,1.127
375.0,1.292
380.0,1.4650000000000001
385.0,1.74
390.0,1.9890000000000001
395.0,2.4860000000000002
400.0,3.0379999999999998
405.0,3.9260000000000002
410.0,5.2590000000000003
415.0,7.3479999999999999
420.0,10.718999999999999
425.0,15.904999999999999
430.0,22.295000000000002
435.0,29.253
440.0,36.174999999999997
445.0,41.204999999999998
450.0,44.749000000000002
455.0,47.792999999999999
460.0,50.933999999999997
465.0,55.600000000000001
470.0,60.732999999999997
475.0,67.364000000000004
480.0,74.081000000000003
485.0,79.959000000000003
490.0,84.667000000000002
495.0,87.442999999999998
500.0,88.194000000000003
505.0,86.122
510.0,83.049999999999997
515.0,79.691000000000003
520.0,75.956000000000003
525.0,72.596999999999994
530.0,69.843999999999994
535.0,67.927000000000007
540.0,66.075999999999993
545.0,65.096000000000004
550.0,64.802999999999997
555.0,65.001000000000005
560.0,65.561000000000007
565.0,66.626999999999995
570.0,68.471000000000004
575.0,70.375
580.0,72.165000000000006
585.0,74.719999999999999
590.0,77.087999999999994
595.0,79.741
600.0,82.359999999999999
605.0,84.638999999999996
610.0,86.424999999999997
615.0,88.257999999999996
620.0,89.375
625.0,90.144000000000005
630.0,90.617000000000004
635.0,90.269000000000005
640.0,89.488
645.0,88.563000000000002
650.0,87.406999999999996
655.0,85.905000000000001
660.0,84.040000000000006
665.0,81.975999999999999
670.0,80.149000000000001
675.0,78.230999999999995
680.0,76.876000000000005
685.0,75.174000000000007
690.0,73.829999999999998
695.0,72.298000000000002
700.0,71.016000000000005
705.0,70.063999999999993
710.0,69.186999999999998
715.0,68.001000000000005
720.0,67.489000000000004
725.0,67.326999999999998
730.0,66.438999999999993
735.0,66.456000000000003
740.0,66.188000000000002
745.0,66.093000000000004
750.0,66.340000000000003
755.0,66.156000000000006
760.0,66.364000000000004
765.0,66.694000000000003
770.0,67.280000000000001
775.0,67.774000000000001
780.0,68.656999999999996
785.0,69.034999999999997
790.0,69.644000000000005
795.0,70.786000000000001
800.0,71.409000000000006
805.0,72.566000000000003
810.0,73.897000000000006
815.0,73.897999999999996
820.0,75.158000000000001
825.0,76.494
830.0,77.448999999999998
835.0,78.503
840.0,79.578999999999994
845.0,81.159000000000006
850.0,80.671999999999997
