$\lambda$ $(nm)$,$T$
300.0,-0.034000000000000002
305.0,-0.043999999999999997
310.0,-0.0070000000000000001
315.0,-0.001
320.0,0.0060000000000000001
325.0,0.031
330.0,0.058000000000000003
335.0,0.10199999999999999
340.0,0.13900000000000001
345.0,0.17299999999999999
350.0,0.23699999999999999
355.0,0.29899999999999999
360.0,0.38100000000000001
365.0,0.47699999999999998
370.0,0.58899999999999997
375.0,0.75600000000000001
380.0,1.0049999999999999
385.0,1.4139999999999999
390.0,2.0569999999999999
395.0,3.4369999999999998
400.0,5.7510000000000003
405.0,9.7780000000000005
410.0,15.093999999999999
415.0,21.373999999999999
420.0,28.184999999999999
425.0,36.057000000000002
430.0,44.679000000000002
435.0,55.817
440.0,66.292000000000002
445.0,74.903000000000006
450.0,75.733000000000004
455.0,71.539000000000001
460.0,66.242000000000004
465.0,63.037999999999997
470.0,61.329000000000001
475.0,61.950000000000003
480.0,64.769999999999996
485.0,69.087999999999994
490.0,74.545000000000002
495.0,80.727999999999994
500.0,85.969999999999999
505.0,89.194999999999993
510.0,90.055000000000007
515.0,88.489999999999995
520.0,84.679000000000002
525.0,80.412999999999997
530.0,75.986000000000004
535.0,72.073999999999998
540.0,69.097999999999999
545.0,66.909000000000006
550.0,65.560000000000002
555.0,65.141000000000005
560.0,65.456999999999994
565.0,66.768000000000001
570.0,68.605999999999995
575.0,71.113
580.0,73.647000000000006
585.0,77.146000000000001
590.0,80.460999999999999
595.0,83.626999999999995
600.0,86.655000000000001
605.0,88.963999999999999
610.0,90.126999999999995
615.0,90.745000000000005
620.0,90.286000000000001
625.0,89.308999999999997
630.0,87.765000000000001
635.0,85.307000000000002
640.0,82.944999999999993
645.0,80.545000000000002
650.0,77.947999999999993
655.0,75.209999999999994
660.0,73.082999999999998
665.0,71.102000000000004
670.0,69.605999999999995
675.0,68.116
680.0,67.406999999999996
685.0,66.762
690.0,66.432000000000002
695.0,66.210999999999999
700.0,66.078999999999994
705.0,66.582999999999998
710.0,67.590999999999994
715.0,68.251000000000005
720.0,69.238
725.0,70.560000000000002
730.0,71.626999999999995
735.0,73.311999999999998
740.0,74.629999999999995
745.0,76.120999999999995
750.0,78.081000000000003
755.0,79.882000000000005
760.0,81.503
765.0,83.049000000000007
770.0,84.566000000000003
775.0,85.647999999999996
780.0,87.061000000000007
785.0,87.844999999999999
790.0,88.456999999999994
795.0,89.442999999999998
800.0,88.875
805.0,88.932000000000002
810.0,89.525000000000006
815.0,88.337000000000003
820.0,88.111999999999995
825.0,87.343999999999994
830.0,85.572000000000003
835.0,84.980999999999995
840.0,83.707999999999998
845.0,83.367999999999995
850.0,80.944000000000003
