$\lambda$ $(nm)$,$T$
300.0,-0.04
305.0,-0.014
310.0,-0.014
315.0,0.016
320.0,0.034
325.0,0.052
330.0,0.105
335.0,0.131
340.0,0.181
345.0,0.243
350.0,0.34
355.0,0.446
360.0,0.576
365.0,0.809
370.0,1.204
375.0,1.866
380.0,3.308
385.0,5.691
390.0,9.73
395.0,15.442
400.0,23.735
405.0,35.591
410.0,48.137
415.0,56.873
420.0,58.725
425.0,57.11
430.0,56.319
435.0,58.777
440.0,64.668
445.0,73.113
450.0,81.616
455.0,86.813
460.0,86.823
465.0,83.409
470.0,77.249
475.0,71.523
480.0,67.392
485.0,64.955
490.0,64.333
495.0,65.617
500.0,68.483
505.0,72.244
510.0,77.072
515.0,81.934
520.0,86.3
525.0,89.245
530.0,90.234
535.0,89.218
540.0,86.693
545.0,83.343
550.0,79.088
555.0,75.473
560.0,72.306
565.0,69.767
570.0,67.899
575.0,66.74
580.0,65.913
585.0,66.66
590.0,67.444
595.0,69.019
600.0,71.148
605.0,73.389
610.0,75.992
615.0,78.875
620.0,81.982
625.0,84.495
630.0,86.983
635.0,88.834
640.0,89.845
645.0,90.497
650.0,90.133
655.0,88.987
660.0,87.529
665.0,85.556
670.0,83.372
675.0,80.887
680.0,79.012
685.0,76.617
690.0,75.179
695.0,72.843
700.0,70.742
705.0,69.871
710.0,69.052
715.0,67.474
720.0,67.298
725.0,67.019
730.0,66.466
735.0,66.818
740.0,67.183
745.0,67.351
750.0,68.328
755.0,69.526
760.0,70.061
765.0,71.269
770.0,72.426
775.0,73.7
780.0,75.57
785.0,76.752
790.0,78.306
795.0,79.699
800.0,81.148
805.0,82.774
810.0,84.485
815.0,84.968
820.0,86.489
825.0,87.212
830.0,88.642
835.0,88.563
840.0,88.363
845.0,90.114
850.0,88.76
