$\lambda$ $(nm)$,$T$
300.0,-0.033
305.0,-0.033
310.0,-0.028
315.0,-0.035
320.0,-0.021
325.0,-0.035
330.0,-0.025
335.0,-0.028
340.0,-0.024
345.0,-0.019
350.0,-0.016
355.0,-0.011
360.0,0.0
365.0,0.005
370.0,0.015
375.0,0.035
380.0,0.042
385.0,0.067
390.0,0.077
395.0,0.108
400.0,0.131
405.0,0.168
410.0,0.183
415.0,0.227
420.0,0.276
425.0,0.331
430.0,0.366
435.0,0.453
440.0,0.54
445.0,0.667
450.0,0.845
455.0,1.151
460.0,1.668
465.0,2.592
470.0,4.089
475.0,6.695
480.0,10.775
485.0,16.694
490.0,24.064
495.0,31.771
500.0,38.258
505.0,41.986
510.0,44.328
515.0,46.633
520.0,49.806
525.0,53.952
530.0,59.652
535.0,65.886
540.0,72.073
545.0,77.469
550.0,80.594
555.0,81.519
560.0,80.075
565.0,77.369
570.0,73.564
575.0,70.028
580.0,66.214
585.0,64.762
590.0,62.892
595.0,62.122
600.0,62.015
605.0,62.626
610.0,63.891
615.0,65.877
620.0,68.273
625.0,71.264
630.0,74.163
635.0,77.272
640.0,79.9
645.0,82.594
650.0,84.53
655.0,85.877
660.0,86.315
665.0,85.728
670.0,84.954
675.0,83.22
680.0,81.527
685.0,79.453
690.0,77.93
695.0,75.048
700.0,72.77
705.0,70.747
710.0,68.918
715.0,67.371
720.0,66.109
725.0,65.292
730.0,64.146
735.0,64.048
740.0,63.633
745.0,63.273
750.0,63.712
755.0,64.212
760.0,64.387
765.0,65.266
770.0,66.377
775.0,67.578
780.0,68.883
785.0,69.769
790.0,70.928
795.0,72.638
800.0,73.941
805.0,75.544
810.0,77.518
815.0,78.545
820.0,80.374
825.0,81.631
830.0,82.654
835.0,84.225
840.0,84.733
845.0,86.019
850.0,85.693
