$\lambda$ $(nm)$,$T$
300.0,-0.032
305.0,-0.036
310.0,-0.026
315.0,-0.024
320.0,-0.011
325.0,0.0
330.0,0.015
335.0,0.03
340.0,0.059
345.0,0.073
350.0,0.098
355.0,0.135
360.0,0.166
365.0,0.203
370.0,0.289
375.0,0.332
380.0,0.39
385.0,0.494
390.0,0.58
395.0,0.738
400.0,0.95
405.0,1.261
410.0,1.744
415.0,2.546
420.0,3.93
425.0,6.38
430.0,9.804
435.0,14.703
440.0,20.911
445.0,30.116
450.0,39.304
455.0,47.499
460.0,52.132
465.0,54.632
470.0,55.383
475.0,56.171
480.0,58.071
485.0,61.48
490.0,66.423
495.0,72.049
500.0,77.719
505.0,82.006
510.0,84.615
515.0,85.244
520.0,83.677
525.0,80.721
530.0,76.987
535.0,73.037
540.0,69.8
545.0,67.521
550.0,65.939
555.0,65.527
560.0,65.626
565.0,66.597
570.0,68.504
575.0,70.492
580.0,72.655
585.0,76.096
590.0,79.048
595.0,81.922
600.0,84.61
605.0,86.653
610.0,87.79
615.0,88.354
620.0,88.123
625.0,87.346
630.0,86.299
635.0,83.975
640.0,81.583
645.0,79.559
650.0,77.042
655.0,74.432
660.0,72.148
665.0,70.803
670.0,69.506
675.0,67.966
680.0,67.202
685.0,66.493
690.0,66.392
695.0,66.101
700.0,66.076
705.0,67.051
710.0,67.643
715.0,67.989
720.0,69.272
725.0,70.385
730.0,71.777
735.0,73.845
740.0,74.848
745.0,76.146
750.0,78.166
755.0,79.789
760.0,81.219
765.0,83.138
770.0,84.481
775.0,85.652
780.0,86.591
785.0,86.935
790.0,87.356
795.0,87.829
800.0,87.985
805.0,88.235
810.0,88.37
815.0,87.021
820.0,86.074
825.0,86.117
830.0,84.106
835.0,84.259
840.0,83.169
845.0,81.773
850.0,80.55
