$\lambda$ $(nm)$,$T$
300.0,-0.023
305.0,-0.027
310.0,-0.010999999999999999
315.0,0.0
320.0,0.019
325.0,0.042000000000000003
330.0,0.070000000000000007
335.0,0.108
340.0,0.157
345.0,0.216
350.0,0.28299999999999997
355.0,0.36099999999999999
360.0,0.50900000000000001
365.0,0.749
370.0,1.1739999999999999
375.0,1.968
380.0,3.6640000000000001
385.0,6.617
390.0,11.875999999999999
395.0,18.849
400.0,26.170999999999999
405.0,34.506999999999998
410.0,44.07
415.0,55.372
420.0,66.043000000000006
425.0,69.736000000000004
430.0,67.745000000000005
435.0,63.289999999999999
440.0,60.749000000000002
445.0,61.271000000000001
450.0,64.992999999999995
455.0,71.278999999999996
460.0,77.878
465.0,83.891000000000005
470.0,86.242000000000004
475.0,85.603999999999999
480.0,81.905000000000001
485.0,76.795000000000002
490.0,71.622
495.0,67.894000000000005
500.0,65.459000000000003
505.0,64.646000000000001
510.0,65.477000000000004
515.0,67.638999999999996
520.0,70.948999999999998
525.0,74.695999999999998
530.0,79.278000000000006
535.0,83.132000000000005
540.0,86.409000000000006
545.0,87.918999999999997
550.0,88.034999999999997
555.0,86.986999999999995
560.0,84.320999999999998
565.0,81.114999999999995
570.0,77.849999999999994
575.0,74.436000000000007
580.0,71.150999999999996
585.0,69.549000000000007
590.0,67.625
595.0,66.561000000000007
600.0,66.192999999999998
605.0,66.400999999999996
610.0,66.935000000000002
615.0,68.245000000000005
620.0,69.855999999999995
625.0,71.932000000000002
630.0,74.528000000000006
635.0,77.070999999999998
640.0,79.619
645.0,82.150999999999996
650.0,84.296999999999997
655.0,86.481999999999999
660.0,87.911000000000001
665.0,88.302999999999997
670.0,88.442999999999998
675.0,87.882999999999996
680.0,87.209999999999994
685.0,85.863
690.0,84.450000000000003
695.0,82.403999999999996
700.0,79.731999999999999
705.0,78.135999999999996
710.0,75.933000000000007
715.0,73.813999999999993
720.0,72.335999999999999
725.0,71.009
730.0,69.334999999999994
735.0,68.820999999999998
740.0,67.370000000000005
745.0,66.516999999999996
750.0,66.363
755.0,66.069999999999993
760.0,65.953000000000003
765.0,66.066999999999993
770.0,66.725999999999999
775.0,67.018000000000001
780.0,67.953999999999994
785.0,68.524000000000001
790.0,69.358000000000004
795.0,70.456999999999994
800.0,71.939999999999998
805.0,73.221000000000004
810.0,74.710999999999999
815.0,75.741
820.0,76.927000000000007
825.0,79.081999999999994
830.0,79.930999999999997
835.0,81.501999999999995
840.0,82.528000000000006
845.0,84.849000000000004
850.0,83.995000000000005
