$\lambda$ $(nm)$,$T$
300.0,-0.019
305.0,-0.018
310.0,-0.011
315.0,0.0
320.0,0.017
325.0,0.044
330.0,0.079
335.0,0.107
340.0,0.147
345.0,0.191
350.0,0.292
355.0,0.355
360.0,0.48
365.0,0.725
370.0,1.028
375.0,1.684
380.0,3.088
385.0,5.519
390.0,9.781
395.0,15.814
400.0,23.083
405.0,32.94
410.0,44.244
415.0,56.918
420.0,64.951
425.0,64.899
430.0,61.179
435.0,58.767
440.0,59.713
445.0,64.275
450.0,71.296
455.0,78.96
460.0,85.217
465.0,88.129
470.0,85.953
475.0,81.185
480.0,75.478
485.0,70.454
490.0,66.885
495.0,65.0
500.0,64.867
505.0,66.281
510.0,69.25
515.0,73.243
520.0,77.993
525.0,82.522
530.0,86.396
535.0,89.048
540.0,89.617
545.0,88.891
550.0,86.271
555.0,83.242
560.0,79.554
565.0,75.92
570.0,72.868
575.0,70.108
580.0,67.771
585.0,66.977
590.0,66.467
595.0,66.517
600.0,67.393
605.0,68.632
610.0,70.239
615.0,72.521
620.0,75.07
625.0,77.591
630.0,80.549
635.0,83.476
640.0,85.863
645.0,87.578
650.0,89.163
655.0,89.778
660.0,89.651
665.0,89.015
670.0,88.203
675.0,86.215
680.0,84.894
685.0,82.566
690.0,80.668
695.0,77.923
700.0,75.902
705.0,73.964
710.0,72.313
715.0,70.503
720.0,69.313
725.0,68.787
730.0,67.557
735.0,67.252
740.0,66.519
745.0,66.243
750.0,66.384
755.0,67.115
760.0,67.434
765.0,67.852
770.0,68.608
775.0,69.803
780.0,70.925
785.0,71.92
790.0,73.165
795.0,74.638
800.0,76.198
805.0,78.32
810.0,79.387
815.0,79.949
820.0,81.778
825.0,83.384
830.0,84.271
835.0,86.36
840.0,86.888
845.0,87.87
850.0,88.029
