$\lambda$ $(nm)$,$T$
300.0,-0.037
305.0,-0.038
310.0,-0.034
315.0,-0.027
320.0,-0.024
325.0,-0.019
330.0,-0.022
335.0,-0.025
340.0,-0.022
345.0,-0.002
350.0,0.011
355.0,0.017
360.0,0.032
365.0,0.052
370.0,0.06
375.0,0.097
380.0,0.126
385.0,0.147
390.0,0.192
395.0,0.237
400.0,0.302
405.0,0.374
410.0,0.471
415.0,0.601
420.0,0.829
425.0,1.237
430.0,1.86
435.0,2.926
440.0,4.705
445.0,7.615
450.0,11.923
455.0,17.194
460.0,22.921
465.0,30.084
470.0,37.902
475.0,47.353
480.0,57.445
485.0,65.372
490.0,69.729
495.0,70.099
500.0,67.299
505.0,63.957
510.0,61.699
515.0,61.068
520.0,62.097
525.0,64.815
530.0,68.827
535.0,74.148
540.0,79.146
545.0,83.753
550.0,87.44
555.0,88.946
560.0,88.659
565.0,86.672
570.0,83.326
575.0,79.201
580.0,74.982
585.0,72.555
590.0,69.58
595.0,67.298
600.0,65.859
605.0,65.451
610.0,65.421
615.0,66.226
620.0,67.599
625.0,69.361
630.0,72.051
635.0,74.286
640.0,77.116
645.0,80.153
650.0,83.007
655.0,85.876
660.0,87.752
665.0,88.793
670.0,89.502
675.0,89.259
680.0,89.416
685.0,87.769
690.0,86.755
695.0,84.319
700.0,81.916
705.0,80.021
710.0,77.517
715.0,75.253
720.0,73.461
725.0,71.665
730.0,70.093
735.0,68.917
740.0,67.409
745.0,66.464
750.0,66.201
755.0,65.931
760.0,65.608
765.0,65.805
770.0,66.508
775.0,66.525
780.0,67.462
785.0,68.034
790.0,68.61
795.0,70.247
800.0,70.855
805.0,72.476
810.0,74.673
815.0,75.193
820.0,77.086
825.0,78.945
830.0,80.159
835.0,81.877
840.0,83.729
845.0,84.758
850.0,85.308
