$\lambda$ $(nm)$,$T$
300.0,-0.029
305.0,-0.032
310.0,-0.038
315.0,-0.028
320.0,-0.025
325.0,-0.03
330.0,-0.036
335.0,-0.019
340.0,-0.015
345.0,-0.013
350.0,0.003
355.0,0.014
360.0,0.017
365.0,0.037
370.0,0.056
375.0,0.079
380.0,0.088
385.0,0.12
390.0,0.145
395.0,0.179
400.0,0.228
405.0,0.276
410.0,0.316
415.0,0.378
420.0,0.438
425.0,0.523
430.0,0.616
435.0,0.728
440.0,0.906
445.0,1.174
450.0,1.591
455.0,2.331
460.0,3.557
465.0,5.554
470.0,8.658
475.0,13.502
480.0,19.564
485.0,25.935
490.0,31.761
495.0,36.831
500.0,41.796
505.0,46.865
510.0,53.643
515.0,61.097
520.0,68.595
525.0,75.049
530.0,79.313
535.0,80.513
540.0,79.201
545.0,76.415
550.0,72.672
555.0,69.374
560.0,66.901
565.0,64.737
570.0,63.881
575.0,63.588
580.0,64.092
585.0,66.076
590.0,68.227
595.0,71.027
600.0,74.239
605.0,77.554
610.0,80.833
615.0,83.82
620.0,86.166
625.0,87.927
630.0,89.26
635.0,88.944
640.0,88.083
645.0,86.646
650.0,84.86
655.0,82.478
660.0,79.61
665.0,77.141
670.0,74.544
675.0,72.292
680.0,70.915
685.0,69.001
690.0,68.133
695.0,66.455
700.0,65.985
705.0,65.582
710.0,65.318
715.0,65.04
720.0,65.441
725.0,66.5
730.0,67.346
735.0,68.559
740.0,69.187
745.0,70.403
750.0,72.348
755.0,73.815
760.0,75.219
765.0,77.178
770.0,79.054
775.0,80.358
780.0,81.871
785.0,83.297
790.0,84.501
795.0,85.832
800.0,86.529
805.0,87.731
810.0,88.541
815.0,88.078
820.0,88.248
825.0,88.247
830.0,87.487
835.0,87.169
840.0,86.743
845.0,85.609
850.0,84.232
