$\lambda$ $(nm)$,$T$
300.0,-0.025
305.0,-0.027
310.0,-0.013
315.0,0.004
320.0,0.031
325.0,0.056
330.0,0.087
335.0,0.132
340.0,0.182
345.0,0.226
350.0,0.288
355.0,0.383
360.0,0.473
365.0,0.586
370.0,0.677
375.0,0.851
380.0,1.064
385.0,1.398
390.0,1.938
395.0,2.822
400.0,4.328
405.0,6.818
410.0,10.613
415.0,16.186
420.0,24.573
425.0,35.628
430.0,45.684
435.0,51.907
440.0,53.736
445.0,53.979
450.0,54.254
455.0,56.426
460.0,60.65
465.0,67.016
470.0,74.041
475.0,81.176
480.0,86.458
485.0,88.221
490.0,87.035
495.0,83.351
500.0,78.555
505.0,73.509
510.0,69.201
515.0,66.544
520.0,64.67
525.0,63.963
530.0,64.184
535.0,65.523
540.0,67.398
545.0,70.276
550.0,73.655
555.0,77.309
560.0,80.616
565.0,84.088
570.0,87.356
575.0,89.528
580.0,89.942
585.0,90.673
590.0,89.561
595.0,87.602
600.0,85.318
605.0,82.643
610.0,79.711
615.0,76.961
620.0,73.94
625.0,71.989
630.0,70.303
635.0,68.732
640.0,67.416
645.0,66.618
650.0,66.156
655.0,65.949
660.0,66.048
665.0,66.144
670.0,66.827
675.0,67.604
680.0,69.208
685.0,70.322
690.0,72.38
695.0,73.97
700.0,75.174
705.0,77.527
710.0,79.253
715.0,80.885
720.0,82.704
725.0,84.965
730.0,85.865
735.0,87.971
740.0,88.704
745.0,88.575
750.0,89.779
755.0,89.889
760.0,89.201
765.0,89.379
770.0,88.719
775.0,87.52
780.0,86.869
785.0,85.359
790.0,83.838
795.0,82.829
800.0,80.928
805.0,80.008
810.0,79.018
815.0,76.704
820.0,75.847
825.0,74.52
830.0,73.086
835.0,72.356
840.0,71.25
845.0,71.363
850.0,69.612
