$\lambda$ $(nm)$,$T$
300.0,-0.036
305.0,-0.029
310.0,-0.016
315.0,-0.014
320.0,0.0
325.0,0.02
330.0,0.038
335.0,0.07
340.0,0.106
345.0,0.132
350.0,0.17
355.0,0.234
360.0,0.278
365.0,0.356
370.0,0.413
375.0,0.506
380.0,0.615
385.0,0.749
390.0,0.889
395.0,1.129
400.0,1.421
405.0,1.926
410.0,2.638
415.0,3.87
420.0,6.019
425.0,9.681
430.0,14.661
435.0,20.67
440.0,27.516
445.0,33.524
450.0,38.431
455.0,43.257
460.0,48.805
465.0,56.227
470.0,64.21
475.0,73.226
480.0,80.012
485.0,83.225
490.0,83.09
495.0,80.125
500.0,75.61
505.0,70.946
510.0,67.241
515.0,64.951
520.0,63.558
525.0,63.543
530.0,64.444
535.0,66.311
540.0,68.899
545.0,72.295
550.0,76.355
555.0,80.043
560.0,83.588
565.0,86.818
570.0,89.214
575.0,90.52
580.0,89.914
585.0,89.813
590.0,87.861
595.0,85.178
600.0,82.396
605.0,79.611
610.0,76.573
615.0,74.166
620.0,71.441
625.0,69.822
630.0,68.436
635.0,67.106
640.0,66.233
645.0,66.081
650.0,65.931
655.0,66.114
660.0,66.552
665.0,67.181
670.0,68.152
675.0,69.289
680.0,71.137
685.0,72.755
690.0,74.845
695.0,76.131
700.0,78.196
705.0,80.57
710.0,82.481
715.0,83.85
720.0,85.376
725.0,87.028
730.0,88.241
735.0,89.385
740.0,89.874
745.0,89.528
750.0,89.58
755.0,89.859
760.0,88.78
765.0,87.981
770.0,86.832
775.0,85.468
780.0,84.62
785.0,82.905
790.0,81.343
795.0,80.016
800.0,78.231
805.0,77.711
810.0,76.396
815.0,74.148
820.0,72.976
825.0,72.36
830.0,71.563
835.0,70.295
840.0,69.508
845.0,69.428
850.0,68.03
