$\lambda$ $(nm)$,$T$
300.0,-0.042
305.0,-0.03
310.0,-0.027
315.0,-0.017
320.0,0.001
325.0,0.004
330.0,0.029
335.0,0.047
340.0,0.073
345.0,0.102
350.0,0.144
355.0,0.163
360.0,0.215
365.0,0.267
370.0,0.344
375.0,0.404
380.0,0.495
385.0,0.618
390.0,0.785
395.0,0.999
400.0,1.352
405.0,1.986
410.0,2.945
415.0,4.539
420.0,7.129
425.0,11.351
430.0,16.809
435.0,24.123
440.0,33.567
445.0,44.174
450.0,52.642
455.0,56.195
460.0,56.156
465.0,55.478
470.0,55.046
475.0,56.642
480.0,60.396
485.0,65.278
490.0,71.739
495.0,78.499
500.0,84.281
505.0,87.028
510.0,87.162
515.0,84.698
520.0,80.461
525.0,75.91
530.0,71.807
535.0,68.392
540.0,65.731
545.0,64.22
550.0,63.584
555.0,63.83
560.0,64.914
565.0,66.791
570.0,69.33
575.0,72.445
580.0,75.237
585.0,79.116
590.0,82.272
595.0,85.313
600.0,87.896
605.0,89.421
610.0,89.553
615.0,89.526
620.0,87.906
625.0,86.248
630.0,84.155
635.0,81.299
640.0,78.792
645.0,76.342
650.0,73.829
655.0,71.714
660.0,69.782
665.0,68.131
670.0,66.989
675.0,66.187
680.0,65.832
685.0,65.572
690.0,65.615
695.0,65.57
700.0,66.081
705.0,66.927
710.0,68.306
715.0,68.824
720.0,70.561
725.0,71.91
730.0,73.366
735.0,75.412
740.0,76.966
745.0,78.265
750.0,80.416
755.0,82.399
760.0,83.581
765.0,84.963
770.0,86.452
775.0,87.284
780.0,88.43
785.0,88.404
790.0,88.244
795.0,89.105
800.0,88.572
805.0,88.55
810.0,87.769
815.0,86.177
820.0,85.004
825.0,84.273
830.0,83.513
835.0,82.215
840.0,81.453
845.0,79.516
850.0,77.113
