$\lambda$ $(nm)$,$T$
300.0,-0.042999999999999997
305.0,-0.043999999999999997
310.0,-0.0080000000000000002
315.0,-0.0040000000000000001
320.0,0.033000000000000002
325.0,0.037999999999999999
330.0,0.070000000000000007
335.0,0.092999999999999999
340.0,0.14799999999999999
345.0,0.20300000000000001
350.0,0.24399999999999999
355.0,0.373
360.0,0.52400000000000002
365.0,0.85599999999999998
370.0,1.4870000000000001
375.0,2.6190000000000002
380.0,5.141
385.0,9.2889999999999997
390.0,16.175999999999998
395.0,25.814
400.0,35.215000000000003
405.0,41.433
410.0,45.384999999999998
415.0,50.997
420.0,60.430999999999997
425.0,71.718000000000004
430.0,78.099000000000004
435.0,77.825999999999993
440.0,73.159999999999997
445.0,67.081000000000003
450.0,63.387
455.0,62.545000000000002
460.0,64.900999999999996
465.0,69.908000000000001
470.0,75.182000000000002
475.0,81.224999999999994
480.0,85.834000000000003
485.0,87.292000000000002
490.0,85.471999999999994
495.0,81.486000000000004
500.0,76.5
505.0,71.489999999999995
510.0,67.959000000000003
515.0,65.799000000000007
520.0,65.004000000000005
525.0,65.781000000000006
530.0,67.605000000000004
535.0,70.682000000000002
540.0,74.102000000000004
545.0,78.081000000000003
550.0,82.245000000000005
555.0,85.510000000000005
560.0,87.649000000000001
565.0,88.742000000000004
570.0,88.131
575.0,86.241
580.0,83.009
585.0,80.420000000000002
590.0,77.126999999999995
595.0,73.864000000000004
600.0,71.042000000000002
605.0,69.167000000000002
610.0,67.494
615.0,66.489000000000004
620.0,66.045000000000002
625.0,66.299999999999997
630.0,67.027000000000001
635.0,68.210999999999999
640.0,69.771000000000001
645.0,71.778999999999996
650.0,74.037999999999997
655.0,76.563000000000002
660.0,79.209000000000003
665.0,80.823999999999998
670.0,82.715000000000003
675.0,84.724999999999994
680.0,87.212000000000003
685.0,87.777000000000001
690.0,88.653999999999996
695.0,88.403999999999996
700.0,87.647999999999996
705.0,87.025999999999996
710.0,85.495999999999995
715.0,83.442999999999998
720.0,81.662999999999997
725.0,80.301000000000002
730.0,77.915000000000006
735.0,75.878
740.0,73.853999999999999
745.0,72.024000000000001
750.0,70.597999999999999
755.0,69.325999999999993
760.0,68.132000000000005
765.0,67.739999999999995
770.0,66.775000000000006
775.0,66.394999999999996
780.0,66.311999999999998
785.0,65.781000000000006
790.0,65.611000000000004
795.0,66.102000000000004
800.0,66.616
805.0,67.331000000000003
810.0,68.290999999999997
815.0,68.414000000000001
820.0,69.507000000000005
825.0,70.537999999999997
830.0,71.855999999999995
835.0,73.521000000000001
840.0,74.676000000000002
845.0,75.754999999999995
850.0,77.629000000000005
