$\lambda$ $(nm)$,$T$
300.0,-0.01
305.0,0.02
310.0,0.094
315.0,0.13700000000000001
320.0,0.22500000000000001
325.0,0.34699999999999998
330.0,0.45200000000000001
335.0,0.60499999999999998
340.0,0.71899999999999997
345.0,0.86699999999999999
350.0,1.0629999999999999
355.0,1.234
360.0,1.395
365.0,1.643
370.0,1.8899999999999999
375.0,2.141
380.0,2.4820000000000002
385.0,2.8759999999999999
390.0,3.4449999999999998
395.0,4.2080000000000002
400.0,5.2910000000000004
405.0,7.0129999999999999
410.0,9.4090000000000007
415.0,12.66
420.0,17.280999999999999
425.0,23.012
430.0,28.975999999999999
435.0,35.527999999999999
440.0,43.140000000000001
445.0,52.265999999999998
450.0,61.853000000000002
455.0,70.494
460.0,76.819000000000003
465.0,80.188000000000002
470.0,79.736999999999995
475.0,77.052999999999997
480.0,73.772000000000006
485.0,70.494
490.0,67.427000000000007
495.0,65.527000000000001
500.0,64.165999999999997
505.0,63.310000000000002
510.0,63.401000000000003
515.0,64.212999999999994
520.0,65.856999999999999
525.0,67.849000000000004
530.0,70.280000000000001
535.0,72.724000000000004
540.0,75.572000000000003
545.0,78.581999999999994
550.0,81.811000000000007
555.0,84.552000000000007
560.0,86.546000000000006
565.0,88.497
570.0,90.120999999999995
575.0,90.855000000000004
580.0,90.293000000000006
585.0,90.275999999999996
590.0,89.102999999999994
595.0,87.296999999999997
600.0,85.816999999999993
605.0,83.820999999999998
610.0,81.704999999999998
615.0,79.585999999999999
620.0,77.388999999999996
625.0,75.656999999999996
630.0,74.137
635.0,72.617000000000004
640.0,70.944000000000003
645.0,69.808000000000007
650.0,68.665000000000006
655.0,67.873999999999995
660.0,67.132999999999996
665.0,66.376999999999995
670.0,66.114000000000004
675.0,66.043000000000006
680.0,66.102000000000004
685.0,66.150999999999996
690.0,66.793999999999997
695.0,66.653999999999996
700.0,67.275000000000006
705.0,68.367999999999995
710.0,68.738
715.0,69.290000000000006
720.0,70.087000000000003
725.0,71.481999999999999
730.0,72.385000000000005
735.0,73.831000000000003
740.0,74.590000000000003
745.0,75.171999999999997
750.0,76.873000000000005
755.0,78.114000000000004
760.0,79.140000000000001
765.0,79.998000000000005
770.0,81.519999999999996
775.0,82.402000000000001
780.0,83.858999999999995
785.0,84.376999999999995
790.0,84.873999999999995
795.0,86.349999999999994
800.0,86.525999999999996
805.0,87.733000000000004
810.0,88.697999999999993
815.0,87.564999999999998
820.0,88.721999999999994
825.0,89.363
830.0,88.995999999999995
835.0,88.792000000000002
840.0,89.337000000000003
845.0,89.831000000000003
850.0,88.0
