$\lambda$ $(nm)$,$T$
300.0,-0.031
305.0,-0.035
310.0,-0.026
315.0,-0.037
320.0,-0.031
325.0,-0.028
330.0,-0.017
335.0,-0.004
340.0,-0.005
345.0,0.013
350.0,0.021
355.0,0.039
360.0,0.051
365.0,0.087
370.0,0.107
375.0,0.137
380.0,0.188
385.0,0.213
390.0,0.274
395.0,0.314
400.0,0.368
405.0,0.45
410.0,0.517
415.0,0.603
420.0,0.698
425.0,0.837
430.0,0.998
435.0,1.248
440.0,1.618
445.0,2.209
450.0,3.233
455.0,4.866
460.0,7.391
465.0,11.116
470.0,15.674
475.0,21.306
480.0,27.424
485.0,33.934
490.0,41.575
495.0,49.961
500.0,59.042
505.0,66.651
510.0,71.981
515.0,74.335
520.0,73.343
525.0,70.88
530.0,67.965
535.0,65.592
540.0,63.386
545.0,62.567
550.0,62.789
555.0,63.871
560.0,65.721
565.0,68.422
570.0,72.097
575.0,75.976
580.0,79.165
585.0,83.035
590.0,85.966
595.0,88.045
600.0,89.333
605.0,89.334
610.0,88.46
615.0,86.854
620.0,84.307
625.0,82.07
630.0,79.611
635.0,76.729
640.0,74.152
645.0,71.898
650.0,70.041
655.0,68.51
660.0,67.111
665.0,66.022
670.0,65.52
675.0,65.191
680.0,65.578
685.0,65.782
690.0,66.77
695.0,67.436
700.0,68.347
705.0,70.048
710.0,71.521
715.0,72.974
720.0,74.751
725.0,76.866
730.0,78.352
735.0,80.763
740.0,81.998
745.0,83.129
750.0,85.335
755.0,86.657
760.0,87.509
765.0,88.267
770.0,88.868
775.0,88.883
780.0,89.057
785.0,88.589
790.0,87.734
795.0,87.52
800.0,86.029
805.0,84.83
810.0,84.244
815.0,82.68
820.0,80.868
825.0,80.035
830.0,78.394
835.0,77.773
840.0,75.738
845.0,75.078
850.0,75.191
