$\lambda$ $(nm)$,$T$
300.0,-0.02
305.0,-0.039
310.0,-0.03
315.0,-0.006
320.0,0.01
325.0,0.014
330.0,0.035
335.0,0.071
340.0,0.081
345.0,0.144
350.0,0.175
355.0,0.229
360.0,0.283
365.0,0.348
370.0,0.452
375.0,0.546
380.0,0.7
385.0,0.918
390.0,1.249
395.0,1.823
400.0,2.828
405.0,4.693
410.0,7.513
415.0,11.707
420.0,17.284
425.0,24.107
430.0,31.908
435.0,41.536
440.0,53.179
445.0,64.225
450.0,69.92
455.0,69.385
460.0,65.709
465.0,62.304
470.0,60.226
475.0,60.442
480.0,62.549
485.0,66.476
490.0,71.85
495.0,78.135
500.0,84.34
505.0,88.13
510.0,90.045
515.0,88.802
520.0,85.561
525.0,81.311
530.0,76.703
535.0,72.632
540.0,69.355
545.0,66.914
550.0,65.408
555.0,64.959
560.0,65.192
565.0,66.413
570.0,68.1
575.0,70.548
580.0,72.954
585.0,76.47
590.0,79.736
595.0,82.943
600.0,86.057
605.0,88.469
610.0,89.849
615.0,90.782
620.0,90.328
625.0,89.502
630.0,88.011
635.0,85.719
640.0,83.31
645.0,80.778
650.0,77.874
655.0,75.473
660.0,72.938
665.0,71.301
670.0,69.652
675.0,67.897
680.0,67.546
685.0,66.502
690.0,66.403
695.0,65.853
700.0,65.963
705.0,66.708
710.0,67.002
715.0,67.51
720.0,68.821
725.0,70.261
730.0,71.41
735.0,72.921
740.0,74.38
745.0,75.896
750.0,78.006
755.0,79.77
760.0,81.064
765.0,82.82
770.0,84.504
775.0,85.532
780.0,87.243
785.0,87.378
790.0,88.459
795.0,88.82
800.0,88.867
805.0,89.372
810.0,89.665
815.0,88.27
820.0,88.117
825.0,87.511
830.0,86.475
835.0,85.15
840.0,84.283
845.0,82.431
850.0,80.965
