$\lambda$ $(nm)$,$T$
300.0,0.009
305.0,0.07
310.0,0.125
315.0,0.231
320.0,0.351
325.0,0.478
330.0,0.641
335.0,0.813
340.0,0.977
345.0,1.143
350.0,1.409
355.0,1.655
360.0,1.876
365.0,2.248
370.0,2.638
375.0,3.207
380.0,4.023
385.0,5.349
390.0,7.447
395.0,10.909
400.0,16.04
405.0,23.727
410.0,32.437
415.0,40.366
420.0,45.897
425.0,49.156
430.0,50.732
435.0,53.405
440.0,57.009
445.0,61.99
450.0,68.416
455.0,74.657
460.0,80.82
465.0,86.043
470.0,88.446
475.0,88.498
480.0,86.607
485.0,83.465
490.0,79.569
495.0,76.032
500.0,72.454
505.0,69.377
510.0,67.368
515.0,65.805
520.0,64.896
525.0,64.999
530.0,65.399
535.0,66.2
540.0,67.652
545.0,69.75
550.0,71.874
555.0,74.139
560.0,76.383
565.0,79.047
570.0,81.887
575.0,84.779
580.0,86.365
585.0,88.568
590.0,89.711
595.0,90.514
600.0,90.878
605.0,90.461
610.0,89.44
615.0,88.615
620.0,86.763
625.0,85.345
630.0,83.732
635.0,81.742
640.0,79.768
645.0,77.986
650.0,76.206
655.0,74.818
660.0,72.909
665.0,71.503
670.0,70.194
675.0,68.956
680.0,68.513
685.0,67.696
690.0,67.555
695.0,66.878
700.0,66.656
705.0,66.668
710.0,66.748
715.0,66.542
720.0,66.642
725.0,67.63
730.0,67.813
735.0,68.523
740.0,68.913
745.0,69.417
750.0,70.214
755.0,71.398
760.0,71.976
765.0,73.209
770.0,74.315
775.0,75.196
780.0,76.061
785.0,77.276
790.0,78.246
795.0,79.78
800.0,80.022
805.0,81.491
810.0,82.69
815.0,82.759
820.0,83.832
825.0,84.522
830.0,85.187
835.0,86.956
840.0,86.474
845.0,87.584
850.0,87.458
