$\lambda$ $(nm)$,$T$
300.0,-0.045
305.0,-0.031
310.0,-0.023
315.0,-0.013
320.0,0.004
325.0,0.034
330.0,0.065
335.0,0.082
340.0,0.134
345.0,0.166
350.0,0.218
355.0,0.283
360.0,0.342
365.0,0.414
370.0,0.498
375.0,0.587
380.0,0.711
385.0,0.822
390.0,0.997
395.0,1.199
400.0,1.519
405.0,1.972
410.0,2.644
415.0,3.752
420.0,5.617
425.0,8.585
430.0,12.468
435.0,17.158
440.0,22.777
445.0,29.024
450.0,36.452
455.0,45.399
460.0,55.037
465.0,64.547
470.0,70.956
475.0,73.465
480.0,72.658
485.0,69.524
490.0,66.174
495.0,63.394
500.0,61.517
505.0,60.799
510.0,61.374
515.0,63.162
520.0,65.835
525.0,69.266
530.0,73.309
535.0,77.745
540.0,81.671
545.0,84.973
550.0,87.337
555.0,88.556
560.0,88.476
565.0,87.405
570.0,85.243
575.0,82.275
580.0,78.756
585.0,76.718
590.0,73.811
595.0,71.061
600.0,69.138
605.0,67.613
610.0,66.101
615.0,65.203
620.0,64.551
625.0,64.507
630.0,65.029
635.0,65.659
640.0,66.58
645.0,67.716
650.0,69.204
655.0,70.916
660.0,72.677
665.0,74.195
670.0,76.321
675.0,78.224
680.0,80.769
685.0,82.472
690.0,84.398
695.0,85.861
700.0,86.892
705.0,88.359
710.0,88.885
715.0,88.832
720.0,88.828
725.0,89.014
730.0,88.079
735.0,87.174
740.0,85.997
745.0,84.25
750.0,83.221
755.0,82.223
760.0,80.365
765.0,79.093
770.0,77.437
775.0,75.573
780.0,74.871
785.0,73.143
790.0,71.786
795.0,70.889
800.0,69.458
805.0,69.119
810.0,68.049
815.0,67.248
820.0,66.601
825.0,66.1
830.0,65.627
835.0,65.6
840.0,64.991
845.0,65.26
850.0,65.197
