$\lambda$ $(nm)$,$T$
300.0,-0.029
305.0,-0.03
310.0,-0.022
315.0,-0.023
320.0,0.004
325.0,0.022
330.0,0.039
335.0,0.054
340.0,0.099
345.0,0.127
350.0,0.177
355.0,0.226
360.0,0.3
365.0,0.358
370.0,0.416
375.0,0.474
380.0,0.574
385.0,0.705
390.0,0.795
395.0,0.954
400.0,1.126
405.0,1.379
410.0,1.654
415.0,2.135
420.0,2.892
425.0,4.119
430.0,5.79
435.0,8.417
440.0,12.042
445.0,16.919
450.0,23.401
455.0,31.172
460.0,40.315
465.0,50.155
470.0,58.25
475.0,63.535
480.0,65.226
485.0,64.284
490.0,62.311
495.0,60.733
500.0,59.657
505.0,59.605
510.0,60.867
515.0,63.479
520.0,66.791
525.0,70.797
530.0,75.307
535.0,79.539
540.0,83.216
545.0,86.398
550.0,88.042
555.0,88.518
560.0,87.621
565.0,85.943
570.0,83.132
575.0,80.104
580.0,76.68
585.0,74.554
590.0,71.862
595.0,69.579
600.0,67.86
605.0,66.529
610.0,65.407
615.0,65.072
620.0,64.686
625.0,65.137
630.0,66.028
635.0,66.751
640.0,68.13
645.0,69.428
650.0,71.266
655.0,73.118
660.0,75.211
665.0,77.006
670.0,79.218
675.0,81.084
680.0,83.283
685.0,84.737
690.0,86.694
695.0,87.566
700.0,88.179
705.0,89.005
710.0,89.24
715.0,88.99
720.0,88.632
725.0,88.274
730.0,86.897
735.0,86.313
740.0,84.677
745.0,82.642
750.0,82.04
755.0,80.347
760.0,78.308
765.0,77.265
770.0,75.619
775.0,74.339
780.0,73.038
785.0,71.614
790.0,70.287
795.0,69.395
800.0,68.912
805.0,68.243
810.0,67.256
815.0,66.205
820.0,66.169
825.0,66.398
830.0,65.562
835.0,66.091
840.0,65.625
845.0,65.58
850.0,65.339
