$\lambda$ $(nm)$,$T$
300.0,-0.027
305.0,-0.027
310.0,-0.016
315.0,-0.007
320.0,0.015
325.0,0.045
330.0,0.081
335.0,0.108
340.0,0.157
345.0,0.202
350.0,0.284
355.0,0.351
360.0,0.446
365.0,0.603
370.0,0.812
375.0,1.179
380.0,1.884
385.0,3.198
390.0,5.562
395.0,9.583
400.0,15.85
405.0,25.572
410.0,36.612
415.0,46.456
420.0,50.832
425.0,51.678
430.0,52.607
435.0,56.428
440.0,63.465
445.0,72.967
450.0,81.699
455.0,86.323
460.0,84.756
465.0,80.195
470.0,73.997
475.0,68.725
480.0,65.336
485.0,63.535
490.0,63.905
495.0,66.031
500.0,69.706
505.0,74.219
510.0,79.367
515.0,84.359
520.0,88.23
525.0,89.912
530.0,89.679
535.0,87.684
540.0,84.086
545.0,80.16
550.0,75.949
555.0,72.578
560.0,69.816
565.0,67.681
570.0,66.492
575.0,65.757
580.0,65.655
585.0,66.736
590.0,68.033
595.0,70.107
600.0,72.628
605.0,75.212
610.0,78.098
615.0,81.008
620.0,83.886
625.0,86.37
630.0,88.645
635.0,89.718
640.0,90.124
645.0,90.053
650.0,89.142
655.0,87.341
660.0,85.288
665.0,83.115
670.0,81.07
675.0,78.336
680.0,76.411
685.0,74.2
690.0,72.755
695.0,70.791
700.0,69.046
705.0,68.148
710.0,67.453
715.0,66.588
720.0,66.336
725.0,66.345
730.0,66.397
735.0,66.707
740.0,67.042
745.0,67.512
750.0,68.59
755.0,69.915
760.0,71.012
765.0,72.559
770.0,73.879
775.0,75.164
780.0,77.027
785.0,78.415
790.0,79.835
795.0,81.495
800.0,82.927
805.0,84.296
810.0,85.735
815.0,86.592
820.0,86.999
825.0,88.229
830.0,88.058
835.0,88.271
840.0,88.45
845.0,89.617
850.0,87.888
