300,-0.043,-0.018,-0.033,-0.024,-0.04,-0.035,-0.023,-0.028,-0.016,-0.021,0.009,0.023,0.018,-0.003,-0.006,-0.019,-0.022,-0.024,-0.035,-0.025,-0.028,-0.019,-0.034,-0.023,-0.025,-0.036,-0.027,-0.026,-0.028,-0.033,-0.034,-0.029,-0.028,-0.013,-0.011,0,-0.01,-0.022,-0.018,-0.028,-0.025,-0.025,-0.033,-0.034,-0.019,-0.036,-0.028,-0.034,-0.032,-0.034,-0.034,-0.034,-0.02,-0.033,-0.036,-0.03,-0.02,-0.026,-0.012,-0.018,-0.039,-0.036,-0.021,-0.045,-0.036,-0.04,-0.042,-0.037,-0.047,-0.027,-0.039,-0.031,-0.025,-0.037,-0.038,-0.031,-0.039,-0.038,-0.028,-0.03,-0.022,-0.029,-0.035,-0.03,-0.029,-0.036,-0.045,-0.036,-0.042,-0.039,-0.024,-0.041,-0.029,-0.033,-0.033,-0.032,-0.043,-0.035,-0.034,-0.037,-0.037,-0.03,-0.036,-0.041,-0.034,-0.031,-0.029,-0.034,-0.024,-0.031,-0.038,-0.03,-0.032,-0.038,-0.035,-0.031,-0.035,-0.031,-0.042,-0.043,-0.038,-0.022,-0.038,-0.041,-0.029,-0.032,-0.033,-0.035,-0.048,-0.027,-0.029,-0.035,-0.029,-0.033,-0.041,-0.034,-0.036,-0.032,-0.029,-0.032,-0.033,-0.032,-0.035,-0.039
305,-0.044,-0.03,-0.023,-0.033,-0.014,-0.024,-0.017,-0.006,0.018,0.023,0.07,0.1,0.078,0.051,0.024,0.013,-0.007,-0.018,-0.042,-0.014,-0.018,-0.018,-0.029,-0.027,-0.018,-0.018,-0.027,-0.021,-0.022,-0.021,-0.013,-0.016,-0.014,-0.006,0.023,0.046,0.02,-0.001,-0.011,-0.013,-0.02,-0.027,-0.026,-0.044,-0.033,-0.03,-0.026,-0.023,-0.016,-0.028,-0.031,-0.029,-0.039,-0.026,-0.027,-0.015,-0.028,-0.019,-0.007,0.009,-0.012,-0.02,-0.031,-0.031,-0.029,-0.03,-0.03,-0.023,-0.027,-0.026,-0.022,-0.033,-0.033,-0.029,-0.044,-0.026,-0.03,-0.037,-0.032,-0.032,-0.036,-0.03,-0.03,-0.02,-0.031,-0.024,-0.029,-0.032,-0.034,-0.034,-0.03,-0.034,-0.02,-0.034,-0.039,-0.036,-0.027,-0.038,-0.035,-0.038,-0.033,-0.033,-0.038,-0.039,-0.024,-0.038,-0.033,-0.031,-0.03,-0.035,-0.023,-0.039,-0.03,-0.037,-0.038,-0.017,-0.034,-0.025,-0.024,-0.037,-0.032,-0.036,-0.036,-0.027,-0.032,-0.04,-0.029,-0.029,-0.034,-0.029,-0.032,-0.037,-0.024,-0.033,-0.04,-0.04,-0.04,-0.054,-0.023,-0.03,-0.04,-0.038,-0.014,-0.031
310,-0.008,-0.022,-0.018,-0.028,-0.014,-0.013,-0.002,0.027,0.041,0.097,0.125,0.206,0.169,0.106,0.054,0.051,0.012,0.003,0.002,-0.003,-0.001,-0.011,-0.007,-0.011,-0.01,-0.019,-0.016,-0.021,-0.007,-0.012,-0.007,0.005,0.014,0.037,0.069,0.105,0.094,0.049,0.011,0.016,-0.011,-0.013,-0.02,-0.007,-0.011,-0.011,-0.023,-0.021,-0.012,-0.03,-0.03,-0.027,-0.03,-0.013,-0.023,-0.017,-0.009,0.003,0.02,0.035,-0.003,-0.008,-0.013,-0.023,-0.016,-0.031,-0.027,-0.025,-0.027,-0.027,-0.02,-0.031,-0.026,-0.024,-0.03,-0.021,-0.03,-0.03,-0.026,-0.032,-0.034,-0.022,-0.024,-0.017,-0.03,-0.024,-0.035,-0.028,-0.035,-0.023,-0.033,-0.041,-0.034,-0.023,-0.025,-0.026,-0.036,-0.027,-0.035,-0.034,-0.032,-0.032,-0.037,-0.034,-0.036,-0.03,-0.032,-0.024,-0.034,-0.026,-0.035,-0.039,-0.033,-0.032,-0.025,-0.031,-0.032,-0.034,-0.039,-0.026,-0.029,-0.026,-0.04,-0.033,-0.031,-0.032,-0.033,-0.039,-0.03,-0.037,-0.038,-0.018,-0.038,-0.028,-0.038,-0.036,-0.037,-0.042,-0.041,-0.039,-0.045,-0.042,-0.035,-0.023
315,-0.004,-0.009,0.006,-0.003,0.016,0.033,0.035,0.05,0.099,0.146,0.231,0.324,0.279,0.16,0.116,0.078,0.054,0.043,0.021,0.01,-0.006,0,0.002,0,-0.005,0.003,-0.007,0.004,-0.01,-0.001,0.005,0.043,0.046,0.074,0.141,0.213,0.137,0.082,0.062,0.024,0.014,0.004,0.002,-0.001,-0.011,-0.002,-0.005,-0.004,-0.009,-0.009,-0.007,-0.006,-0.006,-0.01,-0.012,0.001,0.012,0.031,0.042,0.07,0.035,0.013,0.003,-0.013,-0.014,-0.024,-0.017,-0.015,-0.028,-0.027,-0.009,-0.01,-0.019,-0.028,-0.029,-0.027,-0.033,-0.024,-0.03,-0.023,-0.027,-0.023,0.005,0.009,-0.013,-0.021,-0.025,-0.025,-0.031,-0.029,-0.025,-0.021,-0.034,-0.035,-0.022,-0.024,-0.029,-0.043,-0.028,-0.027,-0.043,-0.032,-0.033,-0.031,-0.031,-0.027,-0.032,-0.031,-0.019,-0.037,-0.027,-0.033,-0.032,-0.039,-0.029,-0.033,-0.027,-0.027,-0.032,-0.029,-0.032,-0.031,-0.043,-0.035,-0.019,-0.036,-0.036,-0.026,-0.031,-0.027,-0.028,-0.034,-0.029,-0.035,-0.036,-0.042,-0.034,-0.039,-0.036,-0.033,-0.036,-0.033,-0.039,-0.027
320,0.033,0.017,0.03,0.016,0.034,0.051,0.078,0.097,0.155,0.241,0.351,0.507,0.398,0.302,0.209,0.123,0.094,0.073,0.04,0.045,0.022,0.017,0.029,0.019,0.041,0.02,0.015,0.035,0.023,0.033,0.057,0.062,0.089,0.16,0.234,0.31,0.225,0.164,0.099,0.073,0.041,0.031,0.021,0.006,0.009,0.018,0.002,0.02,0.029,0,0.003,0.006,0.01,0.004,0.006,0.016,0.047,0.057,0.099,0.153,0.084,0.041,0.025,0.004,0,-0.003,0.001,-0.002,-0.009,-0.006,0,0.006,-0.004,0.002,-0.03,-0.024,-0.019,-0.019,-0.023,-0.011,-0.006,0.004,0.008,0.033,0.005,-0.012,-0.015,-0.023,-0.03,-0.027,-0.024,-0.025,-0.026,-0.018,-0.02,-0.011,-0.02,-0.028,-0.025,-0.024,-0.023,-0.025,-0.034,-0.031,-0.03,-0.029,-0.018,-0.015,-0.03,-0.031,-0.029,-0.02,-0.028,-0.039,-0.029,-0.028,-0.042,-0.034,-0.028,-0.016,-0.028,-0.029,-0.026,-0.039,-0.036,-0.039,-0.03,-0.028,-0.028,-0.04,-0.025,-0.019,-0.024,-0.021,-0.037,-0.027,-0.037,-0.035,-0.038,-0.033,-0.033,-0.036,-0.029,-0.023
325,0.038,0.038,0.052,0.042,0.052,0.08,0.105,0.167,0.252,0.326,0.478,0.652,0.557,0.396,0.287,0.201,0.152,0.101,0.098,0.055,0.064,0.044,0.044,0.042,0.046,0.031,0.045,0.06,0.06,0.063,0.084,0.112,0.161,0.219,0.325,0.441,0.347,0.214,0.178,0.13,0.081,0.056,0.044,0.031,0.026,0.045,0.039,0.051,0.033,0.024,0.025,0.022,0.014,0.033,0.032,0.05,0.063,0.083,0.151,0.218,0.13,0.093,0.047,0.034,0.02,0.015,0.004,-0.001,-0.011,0.004,0.008,0.037,0.001,-0.002,-0.007,-0.011,-0.009,-0.016,-0.017,0.002,-0.003,0.022,0.047,0.07,0.027,-0.001,-0.001,-0.006,-0.029,-0.019,-0.032,-0.015,-0.026,-0.025,-0.01,0,-0.017,-0.021,-0.035,-0.019,-0.027,-0.024,-0.027,-0.029,-0.015,-0.025,-0.01,0.007,-0.017,-0.028,-0.027,-0.026,-0.027,-0.029,-0.034,-0.032,-0.032,-0.025,-0.025,-0.018,-0.023,-0.031,-0.025,-0.033,-0.034,-0.032,-0.036,-0.035,-0.028,-0.028,-0.03,-0.027,-0.038,-0.035,-0.038,-0.029,-0.038,-0.032,-0.031,-0.033,-0.036,-0.03,-0.032,-0.019
330,0.07,0.069,0.066,0.085,0.105,0.131,0.167,0.23,0.346,0.45,0.641,0.866,0.777,0.55,0.374,0.269,0.211,0.154,0.113,0.102,0.1,0.079,0.072,0.07,0.092,0.072,0.081,0.076,0.1,0.108,0.123,0.159,0.242,0.321,0.433,0.611,0.452,0.326,0.242,0.16,0.123,0.087,0.087,0.058,0.056,0.063,0.073,0.075,0.068,0.059,0.047,0.04,0.035,0.05,0.069,0.073,0.103,0.143,0.203,0.312,0.19,0.127,0.095,0.065,0.038,0.034,0.029,0.01,0.02,0.018,0.036,0.048,0.033,0.01,-0.005,0.005,0.006,-0.001,0.004,0.011,0.016,0.039,0.067,0.122,0.052,0.03,0.001,-0.003,0,-0.015,-0.014,-0.01,-0.01,-0.018,0.004,0.015,0,-0.011,-0.011,-0.022,-0.028,-0.027,-0.017,-0.029,-0.015,-0.009,-0.002,0.015,-0.013,-0.017,-0.037,-0.028,-0.031,-0.025,-0.021,-0.033,-0.029,-0.027,-0.022,-0.009,-0.016,-0.027,-0.031,-0.042,-0.03,-0.027,-0.024,-0.034,-0.031,-0.023,-0.036,-0.023,-0.023,-0.025,-0.026,-0.028,-0.036,-0.031,-0.029,-0.035,-0.023,-0.031,-0.031,-0.015
335,0.093,0.081,0.11,0.11,0.131,0.198,0.238,0.299,0.422,0.572,0.813,1.09,0.93,0.716,0.492,0.378,0.268,0.214,0.167,0.139,0.133,0.107,0.094,0.108,0.117,0.119,0.108,0.121,0.137,0.146,0.179,0.223,0.31,0.396,0.53,0.762,0.605,0.438,0.313,0.224,0.174,0.132,0.124,0.102,0.094,0.088,0.105,0.108,0.099,0.092,0.078,0.06,0.071,0.078,0.094,0.125,0.142,0.2,0.294,0.401,0.269,0.178,0.127,0.082,0.07,0.042,0.047,0.036,0.038,0.043,0.061,0.081,0.063,0.021,0.019,0.016,0.011,0.01,0.013,0.02,0.051,0.054,0.103,0.163,0.082,0.042,0.019,0.005,0.002,-0.004,-0.007,-0.013,0.001,-0.015,0.012,0.03,0,-0.008,-0.021,-0.025,-0.018,-0.018,-0.01,-0.01,-0.008,0.001,0.016,0.036,0.008,-0.004,-0.013,-0.021,-0.021,-0.027,-0.026,-0.021,-0.026,-0.027,-0.019,-0.004,-0.009,-0.027,-0.031,-0.026,-0.032,-0.026,-0.031,-0.031,-0.026,-0.027,-0.019,-0.014,-0.021,-0.028,-0.027,-0.03,-0.024,-0.031,-0.028,-0.031,-0.027,-0.036,-0.034,-0.012
340,0.148,0.133,0.161,0.155,0.181,0.216,0.316,0.39,0.564,0.706,0.977,1.3,1.148,0.873,0.66,0.464,0.37,0.286,0.225,0.18,0.169,0.147,0.148,0.157,0.16,0.154,0.157,0.177,0.178,0.203,0.253,0.301,0.384,0.52,0.703,0.928,0.719,0.547,0.412,0.294,0.24,0.182,0.162,0.139,0.135,0.14,0.117,0.15,0.152,0.1,0.106,0.11,0.081,0.111,0.127,0.151,0.199,0.27,0.384,0.51,0.363,0.258,0.188,0.134,0.106,0.08,0.073,0.073,0.073,0.07,0.076,0.117,0.093,0.049,0.038,0.033,0.025,0.022,0.032,0.061,0.067,0.099,0.161,0.22,0.115,0.068,0.048,0.03,0.02,0.008,0.009,0.004,-0.006,0.006,0.031,0.059,0.024,0.002,-0.011,-0.022,-0.015,-0.019,-0.001,-0.005,0.004,0.003,0.037,0.053,0.017,-0.005,-0.004,-0.022,-0.025,-0.034,-0.024,-0.023,-0.021,-0.024,-0.012,0,-0.01,-0.025,-0.025,-0.021,-0.024,-0.031,-0.029,-0.031,-0.015,-0.022,-0.015,-0.013,-0.02,-0.024,-0.022,-0.022,-0.023,-0.033,-0.03,-0.039,-0.031,-0.033,-0.025,-0.009
345,0.203,0.19,0.203,0.226,0.243,0.324,0.373,0.493,0.659,0.874,1.143,1.546,1.347,1.021,0.745,0.585,0.438,0.349,0.282,0.247,0.21,0.191,0.198,0.216,0.221,0.184,0.202,0.223,0.239,0.264,0.29,0.375,0.478,0.619,0.835,1.116,0.867,0.66,0.5,0.376,0.3,0.226,0.212,0.173,0.178,0.17,0.193,0.207,0.175,0.16,0.136,0.141,0.144,0.145,0.173,0.201,0.246,0.345,0.467,0.626,0.439,0.315,0.231,0.166,0.132,0.133,0.102,0.085,0.101,0.098,0.114,0.158,0.118,0.07,0.065,0.052,0.041,0.046,0.056,0.08,0.084,0.127,0.201,0.27,0.165,0.091,0.066,0.045,0.029,0.024,0.007,0.015,0.018,0.017,0.045,0.073,0.039,0.001,0,-0.002,-0.011,-0.009,-0.001,0.001,0.008,0.02,0.047,0.073,0.024,0.013,-0.002,-0.008,-0.008,-0.017,-0.019,-0.027,-0.013,-0.013,-0.011,0.014,-0.005,-0.019,-0.02,-0.016,-0.024,-0.023,-0.026,-0.019,-0.02,-0.011,-0.013,0.006,-0.019,-0.019,-0.013,-0.019,-0.03,-0.023,-0.03,-0.039,-0.026,-0.031,-0.024,-0.006
