"x (cm)","y (cm)","thickness (nm)"
-0.500000,-1.000000,127.170204
0.000000,-1.000000,117.833717
0.500000,-1.000000,109.848038
1.000000,-1.000000,101.755508
1.500000,-1.000000,95.102867
2.000000,-1.000000,89.155991
2.500000,-1.000000,83.990929
3.000000,-1.000000,79.560349
3.500000,-1.000000,75.757492
4.000000,-1.000000,72.775505
4.000000,-1.500000,73.291016
3.500000,-1.500000,76.526772
3.000000,-1.500000,80.550468
2.500000,-1.500000,85.363937
2.000000,-1.500000,90.803131
1.500000,-1.500000,97.087723
1.000000,-1.500000,104.339706
0.500000,-1.500000,112.423508
0.000000,-1.500000,120.816444
-0.500000,-1.500000,131.139191
-1.000000,-1.500000,141.872238
-1.500000,-1.500000,153.096527
-2.000000,-1.500000,165.132202
-2.500000,-1.500000,178.058197
-3.000000,-1.500000,191.730042
-3.500000,-1.500000,206.060669
-4.000000,-1.500000,220.763550
-4.000000,-2.000000,230.858795
-3.500000,-2.000000,213.859406
-3.000000,-2.000000,198.790527
-2.500000,-2.000000,184.400986
-2.000000,-2.000000,170.703293
-1.500000,-2.000000,158.032440
-1.000000,-2.000000,146.165421
-0.500000,-2.000000,135.176666
0.000000,-2.000000,124.729492
0.500000,-2.000000,115.248550
1.000000,-2.000000,107.142349
1.500000,-2.000000,98.937119
2.000000,-2.000000,92.277878
2.500000,-2.000000,86.610939
3.000000,-2.000000,81.560944
3.500000,-2.000000,77.213760
4.000000,-2.000000,73.928848
4.000000,-2.500000,74.725906
3.500000,-2.500000,78.056076
3.000000,-2.500000,82.541512
2.500000,-2.500000,87.587967
2.000000,-2.500000,93.599014
1.500000,-2.500000,100.532242
1.000000,-2.500000,108.514282
0.500000,-2.500000,116.915771
0.000000,-2.500000,127.559525
-0.500000,-2.500000,138.765778
-1.000000,-2.500000,150.036499
-1.500000,-2.500000,162.122299
-2.000000,-2.500000,175.503922
-2.500000,-2.500000,189.834213
-3.000000,-2.500000,204.994583
-3.500000,-2.500000,221.018402
-4.000000,-2.500000,240.541626
-4.000000,-3.000000,248.412674
-3.500000,-3.000000,227.466309
-3.000000,-3.000000,210.382278
-2.500000,-3.000000,194.705139
-2.000000,-3.000000,179.661163
-1.500000,-3.000000,165.727509
-1.000000,-3.000000,153.067520
-0.500000,-3.000000,141.390869
0.000000,-3.000000,130.052032
0.500000,-3.000000,119.671005
1.000000,-3.000000,110.198891
1.500000,-3.000000,101.816124
2.000000,-3.000000,94.491318
2.500000,-3.000000,88.190521
3.000000,-3.000000,83.012344
3.500000,-3.000000,78.672363
4.000000,-3.000000,92.377075
4.000000,-3.500000,75.771378
3.500000,-3.500000,79.093407
3.000000,-3.500000,83.798386
2.500000,-3.500000,89.044044
2.000000,-3.500000,95.511185
1.500000,-3.500000,102.779945
1.000000,-3.500000,111.292747
0.500000,-3.500000,120.485023
0.000000,-3.500000,131.781281
-0.500000,-3.500000,143.475296
-1.000000,-3.500000,155.457733
-1.500000,-3.500000,168.555771
-2.000000,-3.500000,182.963898
-2.500000,-3.500000,198.445328
-3.000000,-3.500000,214.262451
-3.500000,-3.500000,232.854080
-4.000000,-3.500000,254.098969
-4.000000,-4.000000,258.458069
-3.500000,-4.000000,236.500610
-3.000000,-4.000000,217.094482
-2.500000,-4.000000,200.855408
-2.000000,-4.000000,185.334122
-1.500000,-4.000000,170.714096
-1.000000,-4.000000,157.141525
-0.500000,-4.000000,144.692047
0.000000,-4.000000,133.170303
0.500000,-4.000000,122.107346
1.000000,-4.000000,112.070335
1.500000,-4.000000,103.843590
2.000000,-4.000000,95.936623
2.500000,-4.000000,89.505661
3.000000,-4.000000,83.941254
3.500000,-4.000000,79.125809
4.000000,-4.000000,75.627518
