"Zn/(Cd+Zn)","Band Gap (eV)","Film Thickness (nm)"
4.99E-001,2.96E+000,181.099991
5.13E-001,2.97E+000,184.202301
5.18E-001,2.99E+000,187.788391
5.35E-001,3.00E+000,190.88736
3.62E-001,2.81E+000,218.979095
3.50E-001,2.82E+000,213.779572
3.75E-001,2.82E+000,207.974701
3.75E-001,2.82E+000,202.243698
3.87E-001,2.83E+000,196.592636
3.86E-001,2.84E+000,191.612946
4.05E-001,2.84E+000,187.763214
3.98E-001,2.85E+000,184.094452
4.14E-001,2.86E+000,181.960068
4.14E-001,2.87E+000,181.167603
4.29E-001,2.88E+000,181.377533
4.32E-001,2.90E+000,182.623871
4.49E-001,2.91E+000,184.153305
4.53E-001,2.93E+000,187.07077
4.70E-001,2.94E+000,191.107452
4.75E-001,2.95E+000,195.364044
4.94E-001,2.96E+000,199.203491
3.27E-001,2.77E+000,220.817795
3.14E-001,2.78E+000,215.182938
3.39E-001,2.77E+000,209.55986
3.37E-001,2.77E+000,203.104523
3.47E-001,2.78E+000,197.310043
3.48E-001,2.78E+000,192.631165
3.62E-001,2.79E+000,188.924561
3.57E-001,2.80E+000,186.010834
3.71E-001,2.81E+000,184.497955
3.72E-001,2.83E+000,184.4534
3.85E-001,2.84E+000,185.29068
3.88E-001,2.85E+000,186.688797
4.03E-001,2.86E+000,188.166077
4.06E-001,2.87E+000,191.677704
4.23E-001,2.89E+000,197.162445
4.30E-001,2.90E+000,202.537079
4.48E-001,2.92E+000,207.079391
2.93E-001,2.73E+000,221.159393
2.83E-001,2.74E+000,215.139648
3.00E-001,2.74E+000,208.526825
2.99E-001,2.74E+000,202.467941
3.10E-001,2.74E+000,196.777115
3.12E-001,2.75E+000,192.494614
3.23E-001,2.76E+000,189.470398
3.20E-001,2.76E+000,187.109039
3.31E-001,2.77E+000,186.265411
3.31E-001,2.79E+000,186.91478
3.43E-001,2.80E+000,188.507095
3.47E-001,2.81E+000,190.516571
3.58E-001,2.82E+000,192.781723
3.60E-001,2.84E+000,196.545715
3.77E-001,2.85E+000,202.951126
3.82E-001,2.86E+000,209.265228
4.00E-001,2.87E+000,214.528442
2.62E-001,2.69E+000,219.792801
2.56E-001,2.69E+000,213.748825
2.66E-001,2.69E+000,206.863235
2.67E-001,2.70E+000,200.804596
2.75E-001,2.70E+000,195.07663
2.77E-001,2.71E+000,191.165405
2.85E-001,2.71E+000,188.704254
2.86E-001,2.72E+000,187.079269
2.93E-001,2.73E+000,187.289429
2.95E-001,2.74E+000,188.50589
3.04E-001,2.75E+000,190.979645
3.07E-001,2.76E+000,193.983856
3.17E-001,2.77E+000,197.635986
3.18E-001,2.78E+000,202.419998
3.32E-001,2.79E+000,208.802521
3.37E-001,2.81E+000,215.265823
3.53E-001,2.82E+000,221.039642
2.36E-001,2.65E+000,217.024902
2.31E-001,2.66E+000,211.24971
2.45E-001,2.66E+000,204.435211
2.43E-001,2.67E+000,197.808426
2.43E-001,2.67E+000,191.709915
2.44E-001,2.67E+000,188.605545
2.50E-001,2.68E+000,186.679871
2.50E-001,2.69E+000,186.40892
2.58E-001,2.70E+000,187.225372
2.62E-001,2.71E+000,189.16806
2.68E-001,2.72E+000,192.58873
