"$\lambda$ $(nm)$","$n$","$\kappa$"
722.766,2.426,0.216
724.358,2.426,0.216
725.949,2.427,0.216
727.540,2.428,0.216
729.132,2.430,0.216
730.723,2.431,0.217
732.314,2.433,0.217
733.905,2.435,0.217
735.496,2.438,0.217
737.087,2.440,0.217
738.678,2.444,0.217
740.269,2.447,0.217
741.860,2.451,0.216
743.451,2.455,0.215
745.041,2.460,0.214
746.632,2.465,0.212
748.222,2.470,0.209
749.813,2.475,0.206
751.403,2.480,0.202
752.993,2.485,0.197
754.583,2.491,0.192
756.174,2.495,0.186
757.764,2.499,0.179
759.354,2.503,0.171
760.944,2.506,0.163
762.533,2.507,0.154
764.123,2.508,0.145
765.713,2.508,0.136
767.302,2.507,0.127
768.892,2.505,0.118
770.481,2.503,0.110
772.071,2.500,0.102
773.660,2.496,0.095
775.249,2.491,0.088
776.838,2.487,0.082
778.427,2.482,0.077
780.016,2.477,0.072
781.605,2.472,0.068
783.194,2.466,0.064
784.783,2.461,0.061
786.371,2.456,0.058
787.960,2.452,0.055
789.548,2.447,0.053
791.137,2.442,0.051
792.725,2.438,0.050
794.314,2.434,0.048
795.902,2.430,0.047
797.490,2.426,0.046
799.078,2.422,0.045
800.666,2.419,0.045
802.253,2.416,0.044
803.841,2.413,0.044
805.429,2.410,0.043
807.016,2.407,0.042
808.604,2.405,0.042
810.191,2.402,0.041
811.779,2.400,0.041
813.366,2.397,0.040
814.953,2.395,0.040
816.540,2.393,0.039
818.127,2.390,0.039
819.714,2.388,0.038
821.301,2.386,0.038
822.887,2.384,0.037
824.474,2.382,0.037
826.061,2.380,0.036
827.647,2.378,0.036
829.233,2.376,0.036
830.820,2.374,0.035
832.406,2.372,0.035
833.992,2.371,0.034
835.578,2.369,0.034
837.164,2.367,0.034
838.749,2.365,0.033
840.335,2.364,0.033
841.921,2.362,0.033
843.506,2.360,0.032
845.092,2.359,0.032
846.677,2.357,0.032
848.262,2.356,0.032
849.847,2.354,0.031
851.432,2.353,0.031
853.017,2.351,0.031
854.602,2.350,0.031
856.187,2.348,0.030
857.772,2.347,0.030
859.356,2.345,0.030
860.941,2.344,0.030
862.525,2.343,0.030
864.109,2.341,0.029
865.693,2.340,0.029
867.277,2.338,0.029
868.861,2.337,0.029
870.445,2.336,0.029
872.029,2.335,0.028
873.613,2.333,0.028
875.196,2.332,0.028
876.780,2.331,0.028
878.363,2.330,0.028
879.946,2.328,0.028
881.529,2.327,0.028
883.112,2.326,0.028
884.695,2.325,0.027
886.278,2.324,0.027
887.861,2.323,0.027
889.444,2.322,0.027
891.026,2.320,0.027
892.608,2.319,0.027
894.191,2.318,0.027
895.773,2.317,0.027
897.355,2.316,0.027
898.937,2.315,0.027
900.519,2.314,0.027
902.101,2.313,0.026
903.682,2.312,0.026
905.264,2.311,0.026
906.845,2.310,0.026
908.427,2.309,0.026
910.008,2.308,0.026
911.589,2.307,0.026
913.170,2.306,0.026
914.751,2.305,0.026
916.332,2.305,0.026
917.913,2.304,0.026
919.493,2.303,0.026
921.074,2.302,0.026
922.654,2.301,0.026
924.234,2.300,0.026
925.814,2.299,0.026
927.394,2.298,0.026
928.974,2.298,0.026
930.554,2.297,0.026
932.134,2.296,0.026
933.713,2.295,0.026
935.293,2.294,0.026
936.872,2.293,0.026
938.451,2.293,0.026
940.030,2.292,0.026
941.609,2.291,0.026
943.188,2.290,0.026
944.767,2.290,0.026
946.345,2.289,0.026
947.924,2.288,0.026
949.502,2.287,0.026
951.080,2.287,0.026
952.659,2.286,0.026
954.237,2.285,0.026
955.815,2.285,0.026
957.392,2.284,0.026
958.970,2.283,0.026
960.548,2.283,0.026
962.125,2.282,0.026
963.702,2.281,0.026
965.279,2.281,0.026
966.856,2.280,0.026
968.433,2.279,0.026
970.010,2.279,0.026
971.587,2.278,0.026
973.163,2.277,0.026
974.740,2.277,0.026
976.316,2.276,0.026
977.892,2.275,0.026
979.468,2.275,0.026
981.044,2.274,0.026
982.620,2.274,0.026
984.196,2.273,0.027
985.771,2.273,0.027
987.347,2.272,0.027
988.922,2.271,0.027
990.497,2.271,0.027
992.072,2.270,0.027
993.647,2.270,0.027
995.222,2.269,0.027
996.797,2.269,0.027
998.371,2.268,0.027
999.946,2.268,0.027
1011.693,2.264,0.027
1015.112,2.263,0.027
1018.531,2.262,0.027
1021.951,2.261,0.028
1025.370,2.260,0.028
1028.789,2.259,0.028
1032.208,2.258,0.028
1035.627,2.257,0.028
1039.047,2.256,0.028
1042.466,2.255,0.028
1045.885,2.254,0.028
1049.304,2.253,0.028
1052.724,2.252,0.029
1056.143,2.252,0.029
1059.562,2.251,0.029
1062.982,2.250,0.029
1066.401,2.249,0.029
1069.820,2.248,0.029
1073.240,2.248,0.029
1076.659,2.247,0.029
1080.078,2.246,0.029
1083.498,2.245,0.029
1086.917,2.245,0.030
1090.337,2.244,0.030
1093.756,2.243,0.030
1097.176,2.243,0.030
1100.596,2.242,0.030
1104.015,2.241,0.030
1107.435,2.241,0.030
1110.854,2.240,0.030
1114.274,2.239,0.030
1117.694,2.239,0.030
1121.114,2.238,0.030
1124.533,2.238,0.031
1127.953,2.237,0.031
1131.373,2.236,0.031
1134.793,2.236,0.031
1138.213,2.235,0.031
1141.633,2.235,0.031
1145.054,2.234,0.031
1148.474,2.234,0.031
1151.894,2.233,0.031
1155.314,2.233,0.031
1158.735,2.232,0.031
1162.155,2.232,0.031
1165.576,2.231,0.031
1168.996,2.231,0.032
1172.417,2.230,0.032
1175.838,2.230,0.032
1179.258,2.229,0.032
1182.679,2.229,0.032
1186.100,2.229,0.032
1189.521,2.228,0.032
1192.942,2.228,0.032
1196.364,2.227,0.032
1199.785,2.227,0.032
1203.206,2.226,0.032
1206.628,2.226,0.032
1210.049,2.226,0.032
1213.471,2.225,0.032
1216.892,2.225,0.032
1220.314,2.225,0.032
1223.736,2.224,0.033
1227.158,2.224,0.033
1230.580,2.223,0.033
1234.002,2.223,0.033
1237.424,2.223,0.033
1240.847,2.222,0.033
1244.269,2.222,0.033
1247.692,2.222,0.033
1251.115,2.221,0.033
1254.537,2.221,0.033
1257.960,2.221,0.033
1261.383,2.220,0.033
1264.806,2.220,0.033
1268.230,2.220,0.033
1271.653,2.219,0.033
1275.076,2.219,0.033
1278.500,2.219,0.033
1281.924,2.219,0.033
1285.348,2.218,0.033
1288.772,2.218,0.033
1292.196,2.218,0.033
1295.620,2.217,0.033
1299.044,2.217,0.033
1302.469,2.217,0.033
1305.893,2.217,0.033
1309.318,2.216,0.033
1312.743,2.216,0.033
1316.168,2.216,0.033
1319.593,2.216,0.033
1323.018,2.215,0.033
1326.444,2.215,0.034
1329.870,2.215,0.034
1333.295,2.214,0.034
1336.721,2.214,0.034
1340.147,2.214,0.034
1343.574,2.214,0.034
